Card Name,count,Avg count in decks,In percentage of decks,Adventurer Plunder Patroll,deck count: 1
main
"Goldenhair, the Newest Plunder Patroll",3,3.0,100.000%,,
"Whitebeard, the Plunder Patroll Helm",3,3.0,100.000%,,
"Bluebeard, the Plunder Patroll Shipwright",3,3.0,100.000%,,
"Redbeard, the Plunder Patroll Matey",2,2.0,100.000%,,
"Blackeyes, the Plunder Patroll Seaguide",2,2.0,100.000%,,
Ash Blossom & Joyous Spring,3,3.0,100.000%,,
"Nibiru, the Primal Being",3,3.0,100.000%,,
Effect Veiler,3,3.0,100.000%,,
Bystial Magnamhut,3,3.0,100.000%,,
Bystial Druiswurm,3,3.0,100.000%,,
Water Enchantress of the Temple,3,3.0,100.000%,,
Illegal Knight,1,1.0,100.000%,,
"Dracoback, the Rideable Dragon",1,1.0,100.000%,,
Fateful Adventure,1,1.0,100.000%,,
Rite of Aramesir,3,3.0,100.000%,,
Plunder Patroll Shipyarrrd,3,3.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
extra
Plunder Patrollship Lys,3,3.0,0.000%,,
Plunder Patrollship Brann,2,2.0,0.000%,,
Baronne de Fleur,1,1.0,0.000%,,
Plunder Patrollship Moerk,3,3.0,0.000%,,
"Blackbeard, the Plunder Patroll Captain",3,3.0,0.000%,,
Salamangreat Almiraj,1,1.0,0.000%,,
Bahamut Shark,1,1.0,0.000%,,
Toadally Awesome,1,1.0,0.000%,,
side
Wandering Gryphon Rider,1,1.0,0.000%,,
Ghost Sister & Spooky Dogwood,3,3.0,0.000%,,
Bystial Saronir,2,2.0,0.000%,,
Lightning Storm,3,3.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
Destructive Daruma Karma Cannon,3,3.0,0.000%,,
