Card Name,count,Avg count in decks,In percentage of decks,Adventurer Scareclaw,deck count: 1
main
Bystial Magnamhut,2,2.0,100.000%
Bystial Druiswurm,1,1.0,100.000%
Evil★Twins Ki-sikil & Lil-la,1,1.0,100.000%
Kashtira Fenrir,3,3.0,100.000%
Water Enchantress of the Temple,3,3.0,100.000%
Wandering Gryphon Rider,1,1.0,100.000%
Illegal Knight,1,1.0,100.000%
Scareclaw Acro,3,3.0,100.000%
Scareclaw Astra,3,3.0,100.000%
Scareclaw Belone,3,3.0,100.000%
Scareclaw Reichheart,3,3.0,100.000%
Visas Starfrost,1,1.0,100.000%
Rite of Aramesir,3,3.0,100.000%
"Dracoback, the Rideable Dragon",1,1.0,100.000%
Fateful Adventure,1,1.0,100.000%
Pot of Desires,2,2.0,100.000%
Called by the Grave,1,1.0,100.000%
Change of Heart,1,1.0,100.000%
Reinforcement of the Army,1,1.0,100.000%
Harpie's Feather Duster,1,1.0,100.000%
Lightning Storm,3,3.0,100.000%
Book of Eclipse,3,3.0,100.000%
Ultimate Slayer,3,3.0,100.000%
Triple Tactics Talent,3,3.0,100.000%
Super Polymerization,3,3.0,100.000%
Primitive Planet Reichphobia,3,3.0,100.000%
Scareclaw Arrival,3,3.0,100.000%
Scareclaw Straddle,2,2.0,100.000%
Scareclaw Twinsaw,1,1.0,100.000%
extra
Scareclaw Tri-Heart,2,2.0,0.000%
Scareclaw Light-Heart,2,2.0,0.000%
Accesscode Talker,1,1.0,0.000%
Evil★Twin's Trouble Sunny,1,1.0,0.000%
I:P Masquerena,1,1.0,0.000%
Tri-Brigade Ferrijit the Barren Blossom,1,1.0,0.000%
Link Spider,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Mereologic Aggregator,1,1.0,0.000%
"Garura, Wings of Resonant Life",1,1.0,0.000%
Elder Entity N'tss,1,1.0,0.000%
Mudragon of the Swamp,1,1.0,0.000%
Predaplant Dragostapelia,1,1.0,0.000%
side
Dimension Shifter,1,1.0,0.000%
Cosmic Cyclone,3,3.0,0.000%
Anti-Spell Fragrance,3,3.0,0.000%
Different Dimension Ground,3,3.0,0.000%
Dimensional Barrier,3,3.0,0.000%
Non-Fusion Area,2,2.0,0.000%
