Card Name,count,Avg count in decks,In percentage of decks,Adventurer Spright,deck count: 4
main
Spright Jet,12,3.0,100.000%
Spright Blue,12,3.0,100.000%
Spright Carrot,4,1.0,100.000%
Spright Red,4,1.0,100.000%
Swap Frog,8,2.0,100.000%
Wandering Gryphon Rider,4,1.0,100.000%
Nimble Beaver,10,2.5,100.000%
Nimble Angler,10,2.5,100.000%
Water Enchantress of the Temple,12,3.0,100.000%
Ash Blossom & Joyous Spring,5,1.25,50.000%
Dimension Shifter,3,0.75,25.000%
Rite of Aramesir,11,2.75,100.000%
Fateful Adventure,4,1.0,100.000%
"Dracoback, the Rideable Dragon",4,1.0,100.000%
Dark Ruler No More,3,0.75,25.000%
Foolish Burial,4,1.0,100.000%
Spright Starter,12,3.0,100.000%
Spright Smashers,4,1.0,100.000%
Spright Double Cross,1,0.25,25.000%
Infinite Impermanence,9,2.25,75.000%
Kashtira Fenrir,3,0.75,25.000%
Bystial Druiswurm,1,0.25,25.000%
Pot of Prosperity,9,2.25,75.000%
Triple Tactics Talent,2,0.5,25.000%
Forbidden Droplet,9,2.25,75.000%
Illegal Knight,1,0.25,25.000%
Spright Pixies,2,0.5,50.000%
Spright Gamma Burst,1,0.25,25.000%
Ghost Belle & Haunted Mansion,2,0.5,25.000%
Cosmic Cyclone,1,0.25,25.000%
extra
Divine Arsenal AA-ZEUS - Sky Thunder,4,1.0,75.000%
Downerd Magician,4,1.0,75.000%
Toadally Awesome,4,1.0,75.000%
Number 2: Ninja Shadow Mosquito,1,0.25,0.000%
Cat Shark,1,0.25,0.000%
Onibimaru Soul Sweeper,4,1.0,75.000%
Gigantic Spright,8,2.0,75.000%
Spright Elf,10,2.5,75.000%
Spright Sprind,2,0.5,25.000%
"Dharc the Dark Charmer, Gloomy",4,1.0,75.000%
Knightmare Unicorn,3,0.75,50.000%
I:P Masquerena,4,1.0,75.000%
Mekk-Knight Crusadia Avramax,2,0.5,25.000%
Sky Cavalry Centaurea,2,0.5,50.000%
Number 29: Mannequin Cat,2,0.5,50.000%
Knightmare Phoenix,2,0.5,50.000%
Number 65: Djinn Buster,2,0.5,50.000%
Accesscode Talker,1,0.25,25.000%
side
Red Resonator,4,1.0,75.000%
"Simorgh, Bird of Bringing",1,0.25,0.000%
Spright Smashers,1,0.25,25.000%
Triple Tactics Talent,3,0.75,0.000%
Twin Twisters,3,0.75,0.000%
Book of Eclipse,3,0.75,0.000%
Harpie's Feather Storm,3,0.75,0.000%
Testudo erat Numen,1,0.25,25.000%
Thunder King Rai-Oh,2,0.5,50.000%
Artifact Scythe,1,0.25,25.000%
Dimension Shifter,9,2.25,100.000%
Harpie's Feather Duster,2,0.5,50.000%
Spright Gamma Burst,3,0.75,75.000%
Artifact Sanctum,3,0.75,25.000%
Evenly Matched,6,1.5,50.000%
Droll & Lock Bird,3,0.75,25.000%
Chaos Hunter,3,0.75,25.000%
Cosmic Cyclone,3,0.75,25.000%
Dinowrestler Pankratops,1,0.25,25.000%
Lightning Storm,2,0.5,25.000%
Anti-Spell Fragrance,3,0.75,25.000%
