Card Name,count,Avg count in decks,In percentage of decks,Branded Adventurer Tearlaments,deck count: 1
main
Tearlaments Scheiren,3,3.0,100.000%
Tearlaments Merrli,3,3.0,100.000%
Tearlaments Havnis,3,3.0,100.000%
Shaddoll Beast,1,1.0,100.000%
Tearlaments Reinoheart,3,3.0,100.000%
Fallen of Albaz,1,1.0,100.000%
Albion the Shrouded Dragon,1,1.0,100.000%
Water Enchantress of the Temple,3,3.0,100.000%
Wandering Gryphon Rider,1,1.0,100.000%
Rite of Aramesir,1,1.0,100.000%
Fateful Adventure,1,1.0,100.000%
"Dracoback, the Rideable Dragon",1,1.0,100.000%
Foolish Burial,1,1.0,100.000%
Instant Fusion,1,1.0,100.000%
Terraforming,1,1.0,100.000%
Called by the Grave,1,1.0,100.000%
Primeval Planet Perlereino,3,3.0,100.000%
Super Polymerization,3,3.0,100.000%
Branded Fusion,3,3.0,100.000%
Branded in High Spirits,2,2.0,100.000%
Forbidden Droplet,3,3.0,100.000%
Branded Retribution,1,1.0,100.000%
Tearlaments Sulliek,2,2.0,100.000%
High Rate Draw,1,1.0,100.000%
extra
"Garura, Wings of Resonant Life",1,1.0,0.000%
D.3.S. Frog,1,1.0,0.000%
Mudragon of the Swamp,1,1.0,0.000%
Predaplant Dragostapelia,1,1.0,0.000%
El Shaddoll Winda,1,1.0,0.000%
Mirrorjade the Iceblade Dragon,1,1.0,0.000%
Alba-Lenatus the Abyss Dragon,1,1.0,0.000%
Lubellion the Searing Dragon,1,1.0,0.000%
Tearlaments Kaleido-Heart,1,1.0,0.000%
Tearlaments Kitkallos,2,2.0,0.000%
Time Thief Redoer,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Spright Elf,1,1.0,0.000%
side
Ghost Sister & Spooky Dogwood,2,2.0,0.000%
D.D. Crow,2,2.0,0.000%
Ghost Reaper & Winter Cherries,3,3.0,0.000%
Cosmic Cyclone,2,2.0,0.000%
Evenly Matched,3,3.0,0.000%
Skill Drain,3,3.0,0.000%
