Card Name,count,Avg count in decks,In percentage of decks,Branded Bystial Despia,deck count: 1
main,,,,,
The Bystial Lubellion,3,3.0,100.000%,,
Bystial Magnamhut,3,3.0,100.000%,,
Bystial Saronir,2,2.0,100.000%,,
Bystial Druiswurm,1,1.0,100.000%,,
Despian Tragedy,2,2.0,100.000%,,
Ad Libitum of Despia,1,1.0,100.000%,,
Fallen of Albaz,2,2.0,100.000%,,
Aluber the Jester of Despia,3,3.0,100.000%,,
Edge Imp Chain,2,2.0,100.000%,,
Frightfur Patchwork,3,3.0,100.000%,,
Polymerization,2,2.0,100.000%,,
Branded Fusion,3,3.0,100.000%,,
Branded Opening,3,3.0,100.000%,,
Branded in Red,1,1.0,100.000%,,
Foolish Burial,1,1.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
Super Polymerization,3,3.0,100.000%,,
Triple Tactics Talent,2,2.0,100.000%,,
Branded Regained,1,1.0,100.000%,,
Branded Beast,1,1.0,100.000%,,
Branded Banishment,1,1.0,100.000%,,
extra,,,,,
Despian Quaeritis,1,1.0,100.000%,,
Masquerade the Blazing Dragon,1,1.0,100.000%,,
Alba-Lenatus the Abyss Dragon,1,1.0,100.000%,,
Lubellion the Searing Dragon,1,1.0,100.000%,,
Albion the Branded Dragon,3,3.0,100.000%,,
Mirrorjade the Iceblade Dragon,2,2.0,100.000%,,
Guardian Chimera,1,1.0,100.000%,,
Predaplant Dragostapelia,1,1.0,100.000%,,
"Garura, Wings of Resonant Life",1,1.0,100.000%,,
Mudragon of the Swamp,1,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,100.000%,,
"Wollow, Founder of the Drudge Dragons",1,1.0,100.000%,,
side,,,,,
Kashtira Fenrir,3,3.0,100.000%,,
Forbidden Droplet,3,3.0,100.000%,,
Lightning Storm,3,3.0,100.000%,,
Evenly Matched,3,3.0,100.000%,,
Solemn Judgment,3,3.0,100.000%,,
