Card Name,count,Avg count in decks,In percentage of decks,Branded Eldlich,deck count: 1
main
Eldlich the Golden Lord,2,2.0,100.000%,,
Necroworld Banshee,1,1.0,100.000%,,
Aluber the Jester of Despia,3,3.0,100.000%,,
Fallen of Albaz,2,2.0,100.000%,,
Branded Fusion,3,3.0,100.000%,,
Pot of Prosperity,3,3.0,100.000%,,
Forbidden Droplet,3,3.0,100.000%,,
Super Polymerization,3,3.0,100.000%,,
Cursed Eldland,3,3.0,100.000%,,
Zombie World,1,1.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
Eldlixir of Scarlet Sanguine,3,3.0,100.000%,,
Conquistador of the Golden Land,3,3.0,100.000%,,
Summon Limit,3,3.0,100.000%,,
There Can Be Only One,3,3.0,100.000%,,
Skill Drain,3,3.0,100.000%,,
Huaquero of the Golden Land,2,2.0,100.000%,,
extra
Mirrorjade the Iceblade Dragon,2,2.0,0.000%,,
Lubellion the Searing Dragon,1,1.0,0.000%,,
Predaplant Dragostapelia,1,1.0,0.000%,,
Titaniklad the Ash Dragon,1,1.0,0.000%,,
Albion the Branded Dragon,2,2.0,0.000%,,
"Garura, Wings of Resonant Life",1,1.0,0.000%,,
Mudragon of the Swamp,1,1.0,0.000%,,
Superdreadnought Rail Cannon Gustav Max,1,1.0,0.000%,,
Constellar Pleiades,1,1.0,0.000%,,
Accesscode Talker,1,1.0,0.000%,,
"Lyna the Light Charmer, Lustrous",1,1.0,0.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%,,
Link Spider,1,1.0,0.000%,,
side
Lava Golem,3,3.0,0.000%,,
Dimension Shifter,3,3.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
Anti-Spell Fragrance,3,3.0,0.000%,,
Solemn Judgment,3,3.0,0.000%,,
