Card Name,count,Avg count in decks,In percentage of decks,Burn,deck count: 1
main
Mahaama the Fairy Dragon,3,3.0,100.000%
Dinowrestler Pankratops,1,1.0,100.000%
Pot of Extravagance,3,3.0,100.000%
Scapegoat,3,3.0,100.000%
Boo-Boo Game,3,3.0,100.000%
Secret Blast,3,3.0,100.000%
Secret Barrel,3,3.0,100.000%
Threatening Roar,3,3.0,100.000%
Waboku,3,3.0,100.000%
Dimension Wall,3,3.0,100.000%
Trap Trick,3,3.0,100.000%
Bad Luck Blast,3,3.0,100.000%
Pot of Duality,2,2.0,100.000%
Ceasefire,2,2.0,100.000%
Ring of Destruction,2,2.0,100.000%
Balance of Judgment,2,2.0,100.000%
extra
Linkuriboh,3,3.0,0.000%
Link Spider,1,1.0,0.000%
Defender of the Labyrinth,1,1.0,0.000%
Codebreaker Virus Swordsman,3,3.0,0.000%
"Ra'ten, the Heavenly General",2,2.0,0.000%
Gouki The Powerload Ogre,3,3.0,0.000%
Ravenous Crocodragon Archethys,2,2.0,0.000%
side
Dark Eye Nightmare,3,3.0,0.000%
Banquet of Millions,3,3.0,0.000%
D.D. Dynamite,3,3.0,0.000%
Trap Eater,3,3.0,0.000%
Wattcobra,3,3.0,0.000%
