Card Name,count,Avg count in decks,In percentage of decks,Bystial Branded Tearlaments,deck count: 1
main,,,,,
Ad Libitum of Despia,1,1.0,100.000%,,
Aluber the Jester of Despia,2,2.0,100.000%,,
Despian Tragedy,1,1.0,100.000%,,
Fallen of Albaz,2,2.0,100.000%,,
Keeper of Dragon Magic,3,3.0,100.000%,,
Tearlaments Scheiren,3,3.0,100.000%,,
Tearlaments Merrli,3,3.0,100.000%,,
Tearlaments Havnis,2,2.0,100.000%,,
Tearlaments Reinoheart,1,1.0,100.000%,,
Edge Imp Chain,3,3.0,100.000%,,
Albion the Shrouded Dragon,3,3.0,100.000%,,
Bystial Magnamhut,3,3.0,100.000%,,
Bystial Druiswurm,3,3.0,100.000%,,
Bystial Saronir,3,3.0,100.000%,,
The Bystial Lubellion,2,2.0,100.000%,,
Springans Kitt,1,1.0,100.000%,,
Instant Fusion,1,1.0,100.000%,,
Primeval Planet Perlereino,3,3.0,100.000%,,
Frightfur Patchwork,2,2.0,100.000%,,
Fusion Deployment,2,2.0,100.000%,,
Polymerization,2,2.0,100.000%,,
Branded Fusion,3,3.0,100.000%,,
Branded in Red,1,1.0,100.000%,,
Branded Opening,3,3.0,100.000%,,
Branded in High Spirits,3,3.0,100.000%,,
Branded Regained,1,1.0,100.000%,,
Branded Banishment,1,1.0,100.000%,,
Branded Beast,1,1.0,100.000%,,
Branded Retribution,1,1.0,100.000%,,
extra,,,,,
Guardian Chimera,1,1.0,100.000%,,
Tearlaments Kaleido-Heart,1,1.0,100.000%,,
Tearlaments Kitkallos,1,1.0,100.000%,,
Tearlaments Rulkallos,1,1.0,100.000%,,
Mudragon of the Swamp,1,1.0,100.000%,,
Predaplant Dragostapelia,1,1.0,100.000%,,
Alba-Lenatus the Abyss Dragon,1,1.0,100.000%,,
Masquerade the Blazing Dragon,2,2.0,100.000%,,
Mirrorjade the Iceblade Dragon,1,1.0,100.000%,,
Lubellion the Searing Dragon,2,2.0,100.000%,,
Albion the Branded Dragon,2,2.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,100.000%,,
side,,,,,
The Winged Dragon of Ra - Sphere Mode,3,3.0,100.000%,,
Lava Golem,3,3.0,100.000%,,
Kashtira Fenrir,3,3.0,100.000%,,
Forbidden Droplet,3,3.0,100.000%,,
Tearlaments Cryme,1,1.0,100.000%,,
Performapal Gatlinghoul,1,1.0,100.000%,,
Performapal Five-Rainbow Magician,1,1.0,100.000%,,
