Card Name,count,Avg count in decks,In percentage of decks,Bystial Danger Thunder Dragon,deck count: 1
main
The Bystial Lubellion,3,3.0,100.000%,,
Bystial Magnamhut,3,3.0,100.000%,,
Bystial Saronir,3,3.0,100.000%,,
Starliege Seyfert,1,1.0,100.000%,,
Omni Dragon Brotaur,1,1.0,100.000%,,
Batteryman Solar,3,3.0,100.000%,,
Bystial Druiswurm,3,3.0,100.000%,,
Thunder Dragon,3,3.0,100.000%,,
Thunder Dragonroar,1,1.0,100.000%,,
Thunder Dragonhawk,1,1.0,100.000%,,
Chaos Dragon Levianeer,2,2.0,100.000%,,
Thunder Dragondark,1,1.0,100.000%,,
"Chaos Emperor, the Dragon of Armageddon",1,1.0,100.000%,,
"Darkest Diabolos, Lord of the Lair",1,1.0,100.000%,,
Danger! Nessie!,3,3.0,100.000%,,
White Dragon Wyverburster,1,1.0,100.000%,,
Black Dragon Collapserpent,1,1.0,100.000%,,
Danger!? Tsuchinoko?,1,1.0,100.000%,,
Danger!? Jackalope?,1,1.0,100.000%,,
Allure of Darkness,3,3.0,100.000%,,
Branded Regained,1,1.0,100.000%,,
Chaos Space,3,3.0,100.000%,,
The Melody of Awakening Dragon,3,3.0,100.000%,,
Branded Beast,1,1.0,100.000%,,
extra
"Trishula, the Dragon of Icy Imprisonment",1,1.0,0.000%,,
Guardragon Pisty,1,1.0,0.000%,,
Hieratic Seal of the Heavenly Spheres,1,1.0,0.000%,,
Striker Dragon,1,1.0,0.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%,,
Saryuja Skull Dread,1,1.0,0.000%,,
"Apollousa, Bow of the Goddess",1,1.0,0.000%,,
I:P Masquerena,1,1.0,0.000%,,
Knightmare Phoenix,1,1.0,0.000%,,
Knightmare Unicorn,1,1.0,0.000%,,
Agave Dragon,1,1.0,0.000%,,
Number 38: Hope Harbinger Dragon Titanic Galaxy,1,1.0,0.000%,,
Hieratic Dragon King of Atum,1,1.0,0.000%,,
"Dingirsu, the Orcust of the Evening Star",1,1.0,0.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%,,
side
Chaos Daedalus,3,3.0,0.000%,,
Kurikara Divincarnate,3,3.0,0.000%,,
Lightning Storm,3,3.0,0.000%,,
Raigeki,3,3.0,0.000%,,
Eradicator Epidemic Virus,3,3.0,0.000%,,
