Card Name,count,Avg count in decks,In percentage of decks,Bystial Dracoslayer,deck count: 1
main
Odd-Eyes Revolution Dragon,3,3.0,100.000%
"Chaos Emperor, the Dragon of Armageddon",1,1.0,100.000%
Kashtira Fenrir,3,3.0,100.000%
Bystial Druiswurm,3,3.0,100.000%
Bystial Magnamhut,3,3.0,100.000%
Bystial Saronir,1,1.0,100.000%
"Master Pendulum, the Dracoslayer",2,2.0,100.000%
"Luster Pendulum, the Dracoslayer",3,3.0,100.000%
Performapal Skullcrobat Joker,2,2.0,100.000%
"Ignis Phoenix, the Dracoslayer",3,3.0,100.000%
"Dinomight Powerload, the Dracoslayer",3,3.0,100.000%
"Majesty Pegasus, the Dracoslayer",3,3.0,100.000%
Majespecter Raccoon - Bunbuku,3,3.0,100.000%
Dinomist Charge,1,1.0,100.000%
Sky Iris,1,1.0,100.000%
Reinforcement of the Army,1,1.0,100.000%
Triple Tactics Talent,3,3.0,100.000%
Called by the Grave,1,1.0,100.000%
extra
"Dinoster Power, the Mighty Dracoslayer",1,1.0,0.000%
"Ignister Prominence, the Blasting Dracoslayer",2,2.0,0.000%
Number 38: Hope Harbinger Dragon Titanic Galaxy,1,1.0,0.000%
Stellarknight Constellar Diamond,1,1.0,0.000%
Stellarknight Delteros,1,1.0,0.000%
Number 41: Bagooska the Terribly Tired Tapir,1,1.0,0.000%
"Majester Paladin, the Ascending Dracoslayer",1,1.0,0.000%
Tellarknight Ptolemaeus,1,1.0,0.000%
Accesscode Talker,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
"Selene, Queen of the Master Magicians",1,1.0,0.000%
Beyond the Pendulum,1,1.0,0.000%
"Apollousa, Bow of the Goddess",1,1.0,0.000%
Hieratic Seal of the Heavenly Spheres,1,1.0,0.000%
side
PSY-Frame Driver,1,1.0,0.000%
Guiding Ariadne,1,1.0,0.000%
PSY-Framegear Gamma,3,3.0,0.000%
Gagaga Cowboy,1,1.0,0.000%
Zombie World,1,1.0,0.000%
Dark Ruler No More,2,2.0,0.000%
Lightning Storm,3,3.0,0.000%
Solemn Judgment,3,3.0,0.000%
