Card Name,count,Avg count in decks,In percentage of decks,Bystial Dragon Link,deck count: 4
main,,,,,
Rokket Tracer,8,2.0,100.000%,,
Rokket Recharger,4,1.0,100.000%,,
Rokket Synchron,3,0.75,75.000%,,
Absorouter Dragon,4,1.0,100.000%,,
Starliege Seyfert,12,3.0,100.000%,,
Black Dragon Collapserpent,4,1.0,100.000%,,
White Dragon Wyverburster,4,1.0,100.000%,,
The Bystial Lubellion,11,2.75,100.000%,,
Bystial Magnamhut,12,3.0,100.000%,,
Bystial Druiswurm,8,2.0,100.000%,,
Bystial Saronir,5,1.25,100.000%,,
"Chaos Emperor, the Dragon of Armageddon",2,0.5,50.000%,,
Chaos Dragon Levianeer,4,1.0,100.000%,,
Noctovision Dragon,6,1.5,100.000%,,
Effect Veiler,6,1.5,50.000%,,
Forbidden Droplet,3,0.75,25.000%,,
Quick Launch,12,3.0,100.000%,,
Chaos Space,12,3.0,100.000%,,
Boot Sector Launch,4,1.0,100.000%,,
Dragon Ravine,4,1.0,100.000%,,
Branded Regained,4,1.0,100.000%,,
Branded Beast,4,1.0,100.000%,,
Ash Blossom & Joyous Spring,3,0.75,25.000%,,
PSY-Framegear Gamma,6,1.5,50.000%,,
PSY-Frame Driver,2,0.5,50.000%,,
Triple Tactics Talent,6,1.5,50.000%,,
"Nibiru, the Primal Being",3,0.75,25.000%,,
Red-Eyes Darkness Metal Dragon,1,0.25,25.000%,,
Silverrokket Dragon,1,0.25,25.000%,,
Called by the Grave,1,0.25,25.000%,,
Dark Ruler No More,3,0.75,25.000%,,
extra,,,,,
Striker Dragon,4,1.0,100.000%,,
Guardragon Pisty,4,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",4,1.0,100.000%,,
Dragunity Knight - Romulus,4,1.0,100.000%,,
Hieratic Seal of the Heavenly Spheres,4,1.0,100.000%,,
Dillingerous Dragon,4,1.0,100.000%,,
Quadborrel Dragon,4,1.0,100.000%,,
Triple Burst Dragon,4,1.0,100.000%,,
Knightmare Unicorn,4,1.0,100.000%,,
Accesscode Talker,4,1.0,100.000%,,
Borrelend Dragon,4,1.0,100.000%,,
"Wollow, Founder of the Drudge Dragons",1,0.25,25.000%,,
Borreload Savage Dragon,4,1.0,100.000%,,
Scarlight Red Dragon Archfiend,4,1.0,100.000%,,
Baronne de Fleur,3,0.75,75.000%,,
I:P Masquerena,3,0.75,75.000%,,
Hieratic Dragon King of Atum,1,0.25,25.000%,,
side,,,,,
Koa'ki Meiru Drago,2,0.5,50.000%,,
Grandtusk Dragon,1,0.25,25.000%,,
Bystial Saronir,1,0.25,25.000%,,
Bystial Druiswurm,3,0.75,50.000%,,
PSY-Framegear Gamma,6,1.5,50.000%,,
PSY-Frame Driver,2,0.5,50.000%,,
Triple Tactics Talent,2,0.5,25.000%,,
Cosmic Cyclone,4,1.0,50.000%,,
Evenly Matched,3,0.75,25.000%,,
Droll & Lock Bird,3,0.75,25.000%,,
Ghost Sister & Spooky Dogwood,3,0.75,25.000%,,
Harpie's Feather Duster,1,0.25,25.000%,,
Twin Twisters,3,0.75,25.000%,,
Dark Ruler No More,3,0.75,25.000%,,
Ash Blossom & Joyous Spring,2,0.5,25.000%,,
Ghost Belle & Haunted Mansion,2,0.5,25.000%,,
Lightning Storm,6,1.5,50.000%,,
Anti-Spell Fragrance,6,1.5,50.000%,,
Infinite Impermanence,3,0.75,25.000%,,
Dinowrestler Pankratops,1,0.25,25.000%,,
Rivalry of Warlords,3,0.75,25.000%,,
