Card Name,count,Avg count in decks,In percentage of decks,Bystial Dragonmaid,deck count: 1
main,,,,,
Chamber Dragonmaid,3,3.0,100.000%,,
Parlor Dragonmaid,3,3.0,100.000%,,
The Bystial Lubellion,3,3.0,100.000%,,
"Darkest Diabolos, Lord of the Lair",1,1.0,100.000%,,
"Chaos Emperor, the Dragon of Armageddon",1,1.0,100.000%,,
Bystial Magnamhut,3,3.0,100.000%,,
Kashtira Fenrir,3,3.0,100.000%,,
Ash Blossom & Joyous Spring,2,2.0,100.000%,,
Effect Veiler,3,3.0,100.000%,,
Bystial Saronir,2,2.0,100.000%,,
Bystial Druiswurm,2,2.0,100.000%,,
Pot of Prosperity,2,2.0,100.000%,,
Dragonmaid Changeover,1,1.0,100.000%,,
Dragonmaid Hospitality,1,1.0,100.000%,,
Monster Reborn,1,1.0,100.000%,,
Super Polymerization,3,3.0,100.000%,,
Branded Regained,1,1.0,100.000%,,
Branded Beast,1,1.0,100.000%,,
Dragonmaid Tidying,3,3.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
extra,,,,,
House Dragonmaid,1,1.0,100.000%,,
Dragonmaid Sheou,1,1.0,100.000%,,
Starving Venom Fusion Dragon,1,1.0,100.000%,,
Mudragon of the Swamp,1,1.0,100.000%,,
"Garura, Wings of Resonant Life",1,1.0,100.000%,,
Hieratic Dragon King of Atum,1,1.0,100.000%,,
"Wollow, Founder of the Drudge Dragons",1,1.0,100.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,100.000%,,
Hieratic Seal of the Heavenly Spheres,1,1.0,100.000%,,
Striker Dragon,1,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,100.000%,,
"Apollousa, Bow of the Goddess",1,1.0,100.000%,,
Knightmare Unicorn,1,1.0,100.000%,,
Underworld Goddess of the Closed World,1,1.0,100.000%,,
Accesscode Talker,1,1.0,100.000%,,
side,,,,,
Chaos Daedalus,3,3.0,100.000%,,
Droll & Lock Bird,3,3.0,100.000%,,
Artifact Scythe,1,1.0,100.000%,,
Dinowrestler Pankratops,1,1.0,100.000%,,
Harpie's Feather Duster,1,1.0,100.000%,,
Artifact Sanctum,3,3.0,100.000%,,
Evenly Matched,3,3.0,100.000%,,
