Card Name,count,Avg count in decks,In percentage of decks,Bystial Spright,deck count: 36
main
The End of Anubis,3,0.0833,8.333%,,
Bystial Magnamhut,105,2.92,100.000%,,
Bystial Druiswurm,96,2.67,100.000%,,
Bystial Saronir,54,1.5,91.667%,,
Dimension Shifter,18,0.5,16.667%,,
Ash Blossom & Joyous Spring,88,2.44,77.778%,,
Spright Jet,108,3.0,100.000%,,
Spright Blue,108,3.0,100.000%,,
Spright Carrot,36,1.0,100.000%,,
Spright Red,37,1.03,100.000%,,
Nimble Angler,69,1.92,100.000%,,
Nimble Beaver,108,3.0,100.000%,,
Spright Starter,108,3.0,100.000%,,
Spright Smashers,43,1.19,100.000%,,
Pot of Prosperity,76,2.11,75.000%,,
Spright Gamma Burst,3,0.0833,8.333%,,
Spright Double Cross,9,0.25,25.000%,,
Infinite Impermanence,95,2.64,88.889%,,
Ipiria,6,0.167,16.667%,,
Swap Frog,82,2.28,91.667%,,
The Bystial Lubellion,3,0.0833,2.778%,,
Effect Veiler,16,0.444,16.667%,,
Triple Tactics Talent,47,1.31,52.778%,,
Skull Meister,30,0.833,30.556%,,
Spright Pixies,15,0.417,41.667%,,
Ghost Belle & Haunted Mansion,10,0.278,8.333%,,
Called by the Grave,10,0.278,27.778%,,
Kashtira Fenrir,26,0.722,27.778%,,
Capshell,2,0.0556,5.556%,,
Ghost Mourner & Moonlit Chill,1,0.0278,2.778%,,
Enemy Controller,7,0.194,8.333%,,
Dupe Frog,2,0.0556,5.556%,,
Knightmare Corruptor Iblee,1,0.0278,2.778%,,
D.D. Crow,8,0.222,8.333%,,
Foolish Burial,2,0.0556,5.556%,,
Harpie's Feather Duster,1,0.0278,2.778%,,
Mind Control,2,0.0556,5.556%,,
Change of Heart,2,0.0556,5.556%,,
Wind-Up Kitten,1,0.0278,2.778%,,
Dark Beckoning Beast,3,0.0833,2.778%,,
Opening of the Spirit Gates,1,0.0278,2.778%,,
Forbidden Droplet,3,0.0833,2.778%,,
Mask Change II,6,0.167,5.556%,,
Cosmic Cyclone,2,0.0556,2.778%,,
extra
"Wollow, Founder of the Drudge Dragons",12,0.333,30.556%,,
Number 29: Mannequin Cat,15,0.417,38.889%,,
Divine Arsenal AA-ZEUS - Sky Thunder,36,1.0,97.222%,,
Downerd Magician,29,0.806,77.778%,,
Number 65: Djinn Buster,15,0.417,38.889%,,
Number 2: Ninja Shadow Mosquito,10,0.278,25.000%,,
Onibimaru Soul Sweeper,36,1.0,97.222%,,
Gigantic Spright,72,2.0,97.222%,,
"Dharc the Dark Charmer, Gloomy",35,0.972,94.444%,,
Spright Sprind,36,1.0,97.222%,,
Spright Elf,87,2.42,97.222%,,
Knightmare Phoenix,15,0.417,38.889%,,
Codebreaker Virus Swordsman,14,0.389,36.111%,,
Toadally Awesome,33,0.917,91.667%,,
Mekk-Knight Crusadia Avramax,15,0.417,41.667%,,
I:P Masquerena,19,0.528,52.778%,,
Knightmare Cerberus,9,0.25,25.000%,,
Underworld Goddess of the Closed World,2,0.0556,5.556%,,
Cat Shark,11,0.306,30.556%,,
Pitknight Earlie,1,0.0278,2.778%,,
Knightmare Unicorn,7,0.194,19.444%,,
Daigusto Phoenix,1,0.0278,2.778%,,
Sky Cavalry Centaurea,18,0.5,50.000%,,
"Beatrice, Lady of the Eternal",4,0.111,11.111%,,
Topologic Zeroboros,2,0.0556,5.556%,,
Constellar Ptolemy M7,1,0.0278,2.778%,,
Masked HERO Dark Law,2,0.0556,5.556%,,
Accesscode Talker,1,0.0278,2.778%,,
"Eria the Water Charmer, Gentle",1,0.0278,2.778%,,
Herald of Pure Light,1,0.0278,2.778%,,
side
Droll & Lock Bird,24,0.667,11.111%,,
Dark Ruler No More,38,1.06,36.111%,,
Harpie's Feather Duster,21,0.583,52.778%,,
Change of Heart,4,0.111,8.333%,,
Mind Control,3,0.0833,5.556%,,
Zombie World,14,0.389,11.111%,,
Lightning Storm,45,1.25,44.444%,,
Kashtira Fenrir,3,0.0833,2.778%,,
Bystial Saronir,2,0.0556,5.556%,,
Red Resonator,30,0.833,83.333%,,
Swords of Concealing Light,3,0.0833,2.778%,,
Triple Tactics Talent,12,0.333,13.889%,,
PSY-Framegear Gamma,27,0.75,25.000%,,
PSY-Frame Driver,9,0.25,25.000%,,
Dimension Shifter,81,2.25,77.778%,,
Spright Smashers,10,0.278,30.556%,,
Twin Twisters,12,0.333,11.111%,,
Evenly Matched,35,0.972,33.333%,,
Dimensional Barrier,11,0.306,11.111%,,
Volcanic Scattershot,2,0.0556,5.556%,,
The End of Anubis,4,0.111,13.889%,,
Chaos Hunter,4,0.111,11.111%,,
Thunder King Rai-Oh,3,0.0833,8.333%,,
Spright Gamma Burst,13,0.361,38.889%,,
Sky Cavalry Centaurea,1,0.0278,2.778%,,
"Wollow, Founder of the Drudge Dragons",1,0.0278,2.778%,,
Ghost Sister & Spooky Dogwood,8,0.222,8.333%,,
Raigeki,6,0.167,5.556%,,
Cosmic Cyclone,40,1.11,41.667%,,
Spright Double Cross,12,0.333,36.111%,,
Testudo erat Numen,6,0.167,16.667%,,
Forbidden Droplet,9,0.25,8.333%,,
Wind-Up Kitten,1,0.0278,2.778%,,
Dinowrestler Pankratops,6,0.167,16.667%,,
Anti-Spell Fragrance,5,0.139,5.556%,,
"Nibiru, the Primal Being",3,0.0833,2.778%,,
Book of Eclipse,2,0.0556,2.778%,,
Codebreaker Virus Swordsman,1,0.0278,2.778%,,
"Alpha, the Master of Beasts",3,0.0833,2.778%,,
Called by the Grave,2,0.0556,5.556%,,
Appointer of the Red Lotus,3,0.0833,8.333%,,
Soul Drain,2,0.0556,2.778%,,
Artifact Lancea,3,0.0833,2.778%,,
Solemn Judgment,2,0.0556,2.778%,,
Artifact Scythe,2,0.0556,5.556%,,
Trap Trick,1,0.0278,2.778%,,
Artifact Sanctum,5,0.139,5.556%,,
Neko Mane King,3,0.0833,2.778%,,
