Card Name,count,Avg count in decks,In percentage of decks,Crystal Beast,deck count: 2
main
Crystal Beast Rainbow Dragon,6,3.0,100.000%
Crystal Beast Sapphire Pegasus,6,3.0,100.000%
Crystal Beast Cobalt Eagle,1,0.5,50.000%
Crystal Beast Ruby Carbuncle,2,1.0,100.000%
Rainbow Dragon,2,1.0,100.000%
Kashtira Fenrir,2,1.0,50.000%
Dimension Shifter,6,3.0,100.000%
Bystial Magnamhut,2,1.0,50.000%
Bystial Druiswurm,1,0.5,50.000%
Foolish Burial Goods,2,1.0,50.000%
Pot of Prosperity,6,3.0,100.000%
Crystal Bond,4,2.0,100.000%
Rainbow Bridge,6,3.0,100.000%
Awakening of the Crystal Ultimates,5,2.5,100.000%
Rainbow Bridge of the Heart,6,3.0,100.000%
Necrovalley,2,1.0,100.000%
Crystal Conclave,6,3.0,100.000%
Crystal Miracle,4,2.0,100.000%
Rainbow Bridge of Salvation,2,1.0,100.000%
There Can Be Only One,2,1.0,50.000%
Ash Blossom & Joyous Spring,3,1.5,50.000%
Mystic Mine,1,0.5,50.000%
Triple Tactics Talent,2,1.0,50.000%
Infinite Impermanence,3,1.5,50.000%
extra
"Garura, Wings of Resonant Life",2,1.0,50.000%
Mudragon of the Swamp,1,0.5,0.000%
Divine Arsenal AA-ZEUS - Sky Thunder,2,1.0,50.000%
Tornado Dragon,2,1.0,50.000%
Number 41: Bagooska the Terribly Tired Tapir,2,1.0,50.000%
Lightning Chidori,2,1.0,50.000%
Abyss Dweller,2,1.0,50.000%
Gagaga Cowboy,2,1.0,50.000%
Number 60: Dugares the Timeless,2,1.0,50.000%
Zoodiac Chakanine,2,1.0,50.000%
Zoodiac Boarbow,2,1.0,50.000%
Knightmare Unicorn,2,1.0,50.000%
Knightmare Phoenix,2,1.0,50.000%
"Wynn the Wind Charmer, Verdant",1,0.5,0.000%
Underworld Goddess of the Closed World,1,0.5,0.000%
Accesscode Talker,1,0.5,50.000%
Knightmare Cerberus,1,0.5,50.000%
I:P Masquerena,1,0.5,50.000%
side
Ash Blossom & Joyous Spring,3,1.5,0.000%
Zombie World,1,0.5,0.000%
Super Polymerization,6,3.0,50.000%
Harpie's Feather Duster,1,0.5,0.000%
Foolish Burial,1,0.5,0.000%
Appointer of the Red Lotus,1,0.5,0.000%
Evenly Matched,6,3.0,50.000%
There Can Be Only One,1,0.5,50.000%
Crystal Miracle,1,0.5,50.000%
"Nibiru, the Primal Being",3,1.5,50.000%
Mudragon of the Swamp,1,0.5,50.000%
Cosmic Cyclone,2,1.0,50.000%
Solemn Judgment,3,1.5,50.000%
