Card Name,count,Avg count in decks,In percentage of decks,Danger Adventurer Tearlaments,deck count: 1
main
Tearlaments Scheiren,3,3.0,100.000%,,
Tearlaments Havnis,3,3.0,100.000%,,
Tearlaments Merrli,3,3.0,100.000%,,
Tearlaments Reinoheart,2,2.0,100.000%,,
Water Enchantress of the Temple,3,3.0,100.000%,,
Wandering Gryphon Rider,1,1.0,100.000%,,
Albion the Shrouded Dragon,1,1.0,100.000%,,
Danger! Nessie!,2,2.0,100.000%,,
Danger! Bigfoot!,1,1.0,100.000%,,
Danger!? Jackalope?,1,1.0,100.000%,,
Primeval Planet Perlereino,3,3.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Instant Fusion,1,1.0,100.000%,,
Foolish Burial,1,1.0,100.000%,,
"Dracoback, the Rideable Dragon",1,1.0,100.000%,,
Rite of Aramesir,1,1.0,100.000%,,
Fateful Adventure,1,1.0,100.000%,,
Branded in High Spirits,3,3.0,100.000%,,
Forbidden Droplet,3,3.0,100.000%,,
Super Polymerization,3,3.0,100.000%,,
Tearlaments Sulliek,2,2.0,100.000%,,
extra
Tearlaments Kaleido-Heart,1,1.0,0.000%,,
Tearlaments Kitkallos,2,2.0,0.000%,,
Predaplant Dragostapelia,1,1.0,0.000%,,
"Garura, Wings of Resonant Life",1,1.0,0.000%,,
Mudragon of the Swamp,1,1.0,0.000%,,
D.3.S. Frog,1,1.0,0.000%,,
Spright Elf,1,1.0,0.000%,,
I:P Masquerena,1,1.0,0.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%,,
Knightmare Unicorn,1,1.0,0.000%,,
"Curious, the Lightsworn Dominion",1,1.0,0.000%,,
Topologic Zeroboros,1,1.0,0.000%,,
Abyss Dweller,1,1.0,0.000%,,
Time Thief Redoer,1,1.0,0.000%,,
side
Skull-Mark Ladybug,1,1.0,0.000%,,
"Nibiru, the Primal Being",2,2.0,0.000%,,
PSY-Framegear Gamma,3,3.0,0.000%,,
PSY-Frame Driver,1,1.0,0.000%,,
Cosmic Cyclone,3,3.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
Tearlaments Cryme,1,1.0,0.000%,,
Appointer of the Red Lotus,1,1.0,0.000%,,
