Card Name,count,Avg count in decks,In percentage of decks,Danger Tearlaments,deck count: 2
main,,,,,
Danger! Bigfoot!,2,1.0,100.000%,,
Danger! Nessie!,6,3.0,100.000%,,
Tearlaments Scheiren,6,3.0,100.000%,,
Tearlaments Reinoheart,6,3.0,100.000%,,
Night Sword Serpent,1,0.5,50.000%,,
Tearlaments Havnis,6,3.0,100.000%,,
Danger!? Tsuchinoko?,2,1.0,100.000%,,
Danger!? Jackalope?,2,1.0,100.000%,,
Tearlaments Merrli,6,3.0,100.000%,,
Tearlaments Scream,3,1.5,50.000%,,
Primeval Planet Perlereino,6,3.0,100.000%,,
Dark Ruler No More,3,1.5,50.000%,,
Foolish Burial,2,1.0,100.000%,,
Instant Fusion,2,1.0,100.000%,,
Terraforming,2,1.0,100.000%,,
Upstart Goblin,1,0.5,50.000%,,
Called by the Grave,2,1.0,100.000%,,
Super Polymerization,3,1.5,50.000%,,
Tearlaments Heartbeat,1,0.5,50.000%,,
Tearlaments Sulliek,5,2.5,100.000%,,
Tearlaments Cryme,1,0.5,50.000%,,
PSY-Frame Driver,1,0.5,50.000%,,
"Nibiru, the Primal Being",3,1.5,50.000%,,
"Gizmek Orochi, the Serpentron Sky Slasher",1,0.5,50.000%,,
Spell Canceller,1,0.5,50.000%,,
Blackwing - Zephyros the Elite,1,0.5,50.000%,,
Danger! Chupacabra!,1,0.5,50.000%,,
PSY-Framegear Gamma,3,1.5,50.000%,,
Effect Veiler,2,1.0,50.000%,,
Paleozoic Dinomischus,2,1.0,50.000%,,
extra,,,,,
Tearlaments Kaleido-Heart,2,1.0,100.000%,,
Tearlaments Rulkallos,1,0.5,50.000%,,
Predaplant Dragostapelia,2,1.0,100.000%,,
"Garura, Wings of Resonant Life",2,1.0,100.000%,,
Tearlaments Kitkallos,3,1.5,100.000%,,
Mudragon of the Swamp,2,1.0,100.000%,,
Bahamut Shark,1,0.5,50.000%,,
Abyss Dweller,2,1.0,100.000%,,
Toadally Awesome,1,0.5,50.000%,,
Underworld Goddess of the Closed World,1,0.5,50.000%,,
"Curious, the Lightsworn Dominion",2,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",2,1.0,100.000%,,
Spright Elf,2,1.0,100.000%,,
Spright Sprind,1,0.5,50.000%,,
"Apollousa, Bow of the Goddess",1,0.5,50.000%,,
Number 60: Dugares the Timeless,1,0.5,50.000%,,
Gigantic Spright,1,0.5,50.000%,,
I:P Masquerena,1,0.5,50.000%,,
Topologic Zeroboros,1,0.5,50.000%,,
Knightmare Gryphon,1,0.5,50.000%,,
side,,,,,
The Winged Dragon of Ra - Sphere Mode,2,1.0,50.000%,,
Skull-Mark Ladybug,1,0.5,50.000%,,
Mystic Mine,3,1.5,50.000%,,
Harpie's Feather Duster,1,0.5,50.000%,,
Cosmic Cyclone,4,2.0,100.000%,,
Skill Drain,3,1.5,50.000%,,
Evenly Matched,5,2.5,100.000%,,
Chaos Hunter,2,1.0,50.000%,,
Ghost Sister & Spooky Dogwood,3,1.5,50.000%,,
Droll & Lock Bird,3,1.5,50.000%,,
Forbidden Droplet,2,1.0,50.000%,,
Anti-Spell Fragrance,1,0.5,50.000%,,
