Card Name,count,Avg count in decks,In percentage of decks,Dogmatika Bystial Branded Shaddoll,deck count: 1
main, , , , , 
Bystial Magnamhut,3,3.0,100.000%,,
Bystial Druiswurm,2,2.0,100.000%,,
Bystial Saronir,1,1.0,100.000%,,
Shaddoll Squamata,2,2.0,100.000%,,
Shaddoll Hedgehog,2,2.0,100.000%,,
Naelshaddoll Ariel,1,1.0,100.000%,,
Reeshaddoll Wendi,2,2.0,100.000%,,
Shaddoll Beast,1,1.0,100.000%,,
Shaddoll Dragon,1,1.0,100.000%,,
"Dogmatika Ecclesia, the Virtuous",1,1.0,100.000%,,
"Dogmatika Fleurdelis, the Knighted",1,1.0,100.000%,,
Edge Imp Chain,2,2.0,100.000%,,
Albion the Shrouded Dragon,1,1.0,100.000%,,
Fallen of Albaz,2,2.0,100.000%,,
Aluber the Jester of Despia,3,3.0,100.000%,,
Despian Tragedy,1,1.0,100.000%,,
Foolish Burial,1,1.0,100.000%,,
Nadir Servant,3,3.0,100.000%,,
Branded Fusion,3,3.0,100.000%,,
Branded Lost,1,1.0,100.000%,,
"Despia, Theater of the Branded",1,1.0,100.000%,,
Branded Opening,3,3.0,100.000%,,
Frightfur Patchwork,3,3.0,100.000%,,
Polymerization,2,2.0,100.000%,,
Shaddoll Fusion,3,3.0,100.000%,,
El Shaddoll Fusion,1,1.0,100.000%,,
Shaddoll Schism,1,1.0,100.000%,,
Resh Shaddoll Incarnation,1,1.0,100.000%,,
Branded Retribution,1,1.0,100.000%,,
extra, , , , , 
Gravity Controller,1,1.0,0.000%,,
El Shaddoll Construct,2,2.0,0.000%,,
El Shaddoll Apkallone,2,2.0,0.000%,,
El Shaddoll Winda,2,2.0,0.000%,,
Lubellion the Searing Dragon,1,1.0,0.000%,,
Masquerade the Blazing Dragon,1,1.0,0.000%,,
Titaniklad the Ash Dragon,1,1.0,0.000%,,
Albion the Branded Dragon,2,2.0,0.000%,,
Mirrorjade the Iceblade Dragon,2,2.0,0.000%,,
Guardian Chimera,1,1.0,0.000%,,
side, , , , , 
Necroworld Banshee,1,1.0,0.000%,,
Dinowrestler Pankratops,1,1.0,0.000%,,
Harpie's Feather Duster,1,1.0,0.000%,,
Lightning Storm,3,3.0,0.000%,,
Zombie World,1,1.0,0.000%,,
Dark Ruler No More,3,3.0,0.000%,,
Evenly Matched,2,2.0,0.000%,,
There Can Be Only One,3,3.0,0.000%,,
