Card Name,count,Avg count in decks,In percentage of decks,Dogmatika Floowandereeze,deck count: 1
main, , , , , 
Floowandereeze & Empen,2,2.0,100.000%,,
Raiza the Mega Monarch,1,1.0,100.000%,,
Mist Valley Apex Avian,1,1.0,100.000%,,
Floowandereeze & Robina,3,3.0,100.000%,,
Floowandereeze & Eglen,3,3.0,100.000%,,
Floowandereeze & Stri,1,1.0,100.000%,,
Floowandereeze & Toccan,1,1.0,100.000%,,
Dimension Shifter,3,3.0,100.000%,,
Barrier Statue of the Stormwinds,1,1.0,100.000%,,
D.D. Crow,1,1.0,100.000%,,
"Dogmatika Ecclesia, the Virtuous",1,1.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Gold Sarcophagus,1,1.0,100.000%,,
Floowandereeze and the Magnificent Map,3,3.0,100.000%,,
Floowandereeze and the Unexplored Winds,1,1.0,100.000%,,
Floowandereeze and the Advent of Adventure,3,3.0,100.000%,,
Pot of Duality,3,3.0,100.000%,,
Pot of Prosperity,3,3.0,100.000%,,
Nadir Servant,3,3.0,100.000%,,
Mystic Mine,1,1.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
Dogmatika Punishment,1,1.0,100.000%,,
Floowandereeze and the Dreaming Town,1,1.0,100.000%,,
extra, , , , , 
Elder Entity N'tss,2,2.0,0.000%,,
"Garura, Wings of Resonant Life",2,2.0,0.000%,,
Mereologic Aggregator,1,1.0,0.000%,,
Downerd Magician,1,1.0,0.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%,,
Lyrilusc - Promenade Thrush,1,1.0,0.000%,,
Lyrilusc - Assembled Nightingale,1,1.0,0.000%,,
Superdreadnought Rail Cannon Gustav Max,1,1.0,0.000%,,
Superdreadnought Rail Cannon Juggernaut Liebe,1,1.0,0.000%,,
Knightmare Phoenix,1,1.0,0.000%,,
Harpie Conductor,1,1.0,0.000%,,
Tri-Brigade Shuraig the Ominous Omen,2,2.0,0.000%,,
side, , , , , 
Dark Ruler No More,3,3.0,0.000%,,
Enemy Controller,3,3.0,0.000%,,
Harpie's Feather Duster,1,1.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
Harpie's Feather Storm,3,3.0,0.000%,,
Different Dimension Ground,2,2.0,0.000%,,
