Card Name,count,Avg count in decks,In percentage of decks,Dracoslayer,deck count: 1
main
"Ignis Phoenix, the Dracoslayer",3,3.0,100.000%
"Majesty Pegasus, the Dracoslayer",3,3.0,100.000%
"Dinomight Powerload, the Dracoslayer",3,3.0,100.000%
"Luster Pendulum, the Dracoslayer",3,3.0,100.000%
"Master Pendulum, the Dracoslayer",2,2.0,100.000%
Majespecter Raccoon - Bunbuku,3,3.0,100.000%
Dinomist Charge,2,2.0,100.000%
Odd-Eyes Revolution Dragon,3,3.0,100.000%
Performapal Skullcrobat Joker,1,1.0,100.000%
Performapal Monkeyboard,1,1.0,100.000%
Performapal Odd-Eyes Synchron,1,1.0,100.000%
Archfiend Eccentrick,1,1.0,100.000%
Amorphage Sloth,1,1.0,100.000%
Bystial Magnamhut,3,3.0,100.000%
Bystial Druiswurm,1,1.0,100.000%
Kashtira Fenrir,3,3.0,100.000%
Necrovalley,1,1.0,100.000%
Sky Iris,1,1.0,100.000%
Mystic Mine,3,3.0,100.000%
Terraforming,1,1.0,100.000%
Set Rotation,1,1.0,100.000%
Triple Tactics Talent,2,2.0,100.000%
extra
"Ignister Prominence, the Blasting Dracoslayer",2,2.0,0.000%
"Dinoster Power, the Mighty Dracoslayer",1,1.0,0.000%
"Majester Paladin, the Ascending Dracoslayer",1,1.0,0.000%
Beyond the Pendulum,2,2.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Hieratic Seal of the Heavenly Spheres,1,1.0,0.000%
"Selene, Queen of the Master Magicians",1,1.0,0.000%
Worldsea Dragon Zealantis,1,1.0,0.000%
Tilting Entrainment,1,1.0,0.000%
Baronne de Fleur,1,1.0,0.000%
Number 41: Bagooska the Terribly Tired Tapir,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%
side
Guiding Ariadne,1,1.0,0.000%
Solemn Judgment,3,3.0,0.000%
Scarlight Red Dragon Archfiend,1,1.0,0.000%
Ghost Sister & Spooky Dogwood,3,3.0,0.000%
Dark Ruler No More,2,2.0,0.000%
Zombie World,2,2.0,0.000%
Dimension Shifter,3,3.0,0.000%
