Card Name,count,Avg count in decks,In percentage of decks,Evil Twin Spright,deck count: 2
main
PSY-Frame Driver,1,0.5,50.000%,,
"Nibiru, the Primal Being",3,1.5,50.000%,,
Ash Blossom & Joyous Spring,3,1.5,50.000%,,
Spright Jet,6,3.0,100.000%,,
Spright Red,2,1.0,100.000%,,
Spright Blue,6,3.0,100.000%,,
Spright Carrot,2,1.0,100.000%,,
PSY-Framegear Gamma,3,1.5,50.000%,,
Live☆Twin Ki-sikil Frost,2,1.0,50.000%,,
Live☆Twin Lil-la,6,3.0,100.000%,,
Effect Veiler,3,1.5,50.000%,,
Live☆Twin Sunny's Snitch,2,1.0,50.000%,,
Pot of Prosperity,6,3.0,100.000%,,
Secret Password,1,0.5,50.000%,,
Enemy Controller,5,2.5,100.000%,,
Spright Smashers,2,1.0,100.000%,,
Spright Starter,6,3.0,100.000%,,
Infinite Impermanence,6,3.0,100.000%,,
Live☆Twin Ki-sikil,3,1.5,50.000%,,
Spright Pixies,1,0.5,50.000%,,
Wind-Up Kitten,1,0.5,50.000%,,
Called by the Grave,1,0.5,50.000%,,
Cosmic Cyclone,3,1.5,50.000%,,
Triple Tactics Talent,3,1.5,50.000%,,
Forbidden Droplet,3,1.5,50.000%,,
Evenly Matched,3,1.5,50.000%,,
extra
Divine Arsenal AA-ZEUS - Sky Thunder,2,1.0,50.000%,,
Downerd Magician,2,1.0,50.000%,,
Toadally Awesome,1,0.5,0.000%,,
Number 29: Mannequin Cat,1,0.5,0.000%,,
Gigantic Spright,4,2.0,50.000%,,
Herald of Pure Light,1,0.5,0.000%,,
"Dharc the Dark Charmer, Gloomy",2,1.0,50.000%,,
Knightmare Cerberus,1,0.5,0.000%,,
Spright Elf,6,3.0,50.000%,,
Evil★Twin Ki-sikil,4,2.0,50.000%,,
Evil★Twin Lil-la,2,1.0,50.000%,,
Evil★Twin's Trouble Sunny,1,0.5,50.000%,,
Tearlaments Kitkallos,1,0.5,50.000%,,
Sky Cavalry Centaurea,1,0.5,50.000%,,
Number 65: Djinn Buster,1,0.5,50.000%,,
side
Dimension Shifter,3,1.5,0.000%,,
Artifact Scythe,1,0.5,0.000%,,
Red Resonator,2,1.0,50.000%,,
Lightning Storm,2,1.0,0.000%,,
Cosmic Cyclone,3,1.5,0.000%,,
Spright Gamma Burst,1,0.5,0.000%,,
Spright Smashers,1,0.5,50.000%,,
Artifact Sanctum,3,1.5,0.000%,,
Ghost Reaper & Winter Cherries,3,1.5,50.000%,,
Droll & Lock Bird,3,1.5,50.000%,,
Harpie's Feather Duster,1,0.5,50.000%,,
Silent Graveyard,3,1.5,50.000%,,
Appointer of the Red Lotus,1,0.5,50.000%,,
Dimensional Barrier,3,1.5,50.000%,,
