Card Name,count,Avg count in decks,In percentage of decks,Ghoti Runick,deck count: 1
main
Bystial Druiswurm,1,1.0,100.000%
Bystial Magnamhut,3,3.0,100.000%
"Snopios, Shade of the Ghoti",1,1.0,100.000%
Iron Dragon Tiamaton,1,1.0,100.000%
Lifeless Leaffish,1,1.0,100.000%
Hop Ear Squadron,3,3.0,100.000%
"Zep, Ruby of the Ghoti",1,1.0,100.000%
"Shif, Fairy of the Ghoti",2,2.0,100.000%
"Paces, Light of the Ghoti",1,1.0,100.000%
Runick Fountain,3,3.0,100.000%
Reasoning,1,1.0,100.000%
Called by the Grave,1,1.0,100.000%
Runick Destruction,3,3.0,100.000%
Runick Dispelling,3,3.0,100.000%
Runick Flashing Fire,3,3.0,100.000%
Runick Freezing Curses,3,3.0,100.000%
Runick Golden Droplet,2,2.0,100.000%
Runick Slumber,2,2.0,100.000%
Runick Smiting Storm,2,2.0,100.000%
Runick Tip,3,3.0,100.000%
extra
Geri the Runick Fangs,3,3.0,0.000%
Hugin the Runick Wings,2,2.0,0.000%
Swordsoul Supreme Sovereign - Chengying,1,1.0,0.000%
Ghoti of the Deep Beyond,1,1.0,0.000%
PSY-Framelord Omega,1,1.0,0.000%
White Aura Whale,1,1.0,0.000%
"Askaan, the Bicorned Ghoti",2,2.0,0.000%
"Arionpos, Serpent of the Ghoti",2,2.0,0.000%
Herald of the Arc Light,1,1.0,0.000%
Cupid Pitch,1,1.0,0.000%
side
Lightning Storm,3,3.0,0.000%
Cosmic Cyclone,3,3.0,0.000%
Forbidden Droplet,3,3.0,0.000%
Runick Golden Droplet,1,1.0,100.000%
Runick Slumber,1,1.0,100.000%
Runick Smiting Storm,1,1.0,100.000%
Evenly Matched,3,3.0,0.000%
