Card Name,count,Avg count in decks,In percentage of decks,Golden Tearlaments,deck count: 1
main
Tearlaments Scheiren,3,3.0,100.000%,,
Tearlaments Reinoheart,2,2.0,100.000%,,
Tearlaments Havnis,3,3.0,100.000%,,
Tearlaments Merrli,3,3.0,100.000%,,
Primeval Planet Perlereino,3,3.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Instant Fusion,1,1.0,100.000%,,
Super Polymerization,3,3.0,100.000%,,
Branded in High Spirits,3,3.0,100.000%,,
"Nibiru, the Primal Being",3,3.0,100.000%,,
Danger! Nessie!,3,3.0,100.000%,,
Danger!? Tsuchinoko?,1,1.0,100.000%,,
Danger!? Jackalope?,1,1.0,100.000%,,
Absolute King Back Jack,1,1.0,100.000%,,
Destiny HERO - Malicious,2,2.0,100.000%,,
The Golden Swordsoul,1,1.0,100.000%,,
"Incredible Ecclesia, the Virtuous",1,1.0,100.000%,,
Albion the Shrouded Dragon,1,1.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
Tearlaments Sulliek,1,1.0,100.000%,,
extra
Tearlaments Kaleido-Heart,1,1.0,0.000%,,
Predaplant Dragostapelia,1,1.0,0.000%,,
"Garura, Wings of Resonant Life",2,2.0,0.000%,,
Tearlaments Kitkallos,1,1.0,0.000%,,
Mudragon of the Swamp,1,1.0,0.000%,,
D.3.S. Frog,1,1.0,0.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%,,
Abyss Dweller,1,1.0,0.000%,,
"Beatrice, Lady of the Eternal",1,1.0,0.000%,,
Knightmare Unicorn,1,1.0,0.000%,,
Spright Elf,1,1.0,0.000%,,
I:P Masquerena,1,1.0,0.000%,,
Stardust Charge Warrior,1,1.0,0.000%,,
Baronne de Fleur,1,1.0,0.000%,,
side
Droll & Lock Bird,3,3.0,0.000%,,
Harpie's Feather Duster,1,1.0,0.000%,,
Dark Ruler No More,3,3.0,0.000%,,
Cosmic Cyclone,2,2.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
Paleozoic Dinomischus,3,3.0,0.000%,,
