Card Name,count,Avg count in decks,In percentage of decks,Grapha Bystial Ishizu Tearlaments,deck count: 1
main
Bystial Druiswurm,3,3.0,100.000%
Bystial Magnamhut,3,3.0,100.000%
Bystial Saronir,1,1.0,100.000%
Tearlaments Scheiren,3,3.0,100.000%
Tearlaments Reinoheart,2,2.0,100.000%
Kelbek the Ancient Vanguard,3,3.0,100.000%
Mudora the Sword Oracle,3,3.0,100.000%
Agido the Ancient Sentinel,1,1.0,100.000%
Keldo the Sacred Protector,3,3.0,100.000%
Tearlaments Havnis,3,3.0,100.000%
King of the Swamp,3,3.0,100.000%
Tearlaments Merrli,3,3.0,100.000%
Tearlaments Scream,1,1.0,100.000%
Primeval Planet Perlereino,3,3.0,100.000%
Instant Fusion,1,1.0,100.000%
Polymerization,1,1.0,100.000%
Terraforming,1,1.0,100.000%
Tearlaments Sulliek,1,1.0,100.000%
Tearlaments Cryme,1,1.0,100.000%
extra
"Grapha, Dragon Overlord of Dark World",1,1.0,0.000%
Guardian Chimera,1,1.0,0.000%
Tearlaments Kaleido-Heart,1,1.0,0.000%
Tearlaments Rulkallos,1,1.0,0.000%
Predaplant Dragostapelia,1,1.0,0.000%
"Garura, Wings of Resonant Life",1,1.0,0.000%
Tearlaments Kitkallos,1,1.0,0.000%
Mudragon of the Swamp,1,1.0,0.000%
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%
Time Thief Redoer,1,1.0,0.000%
Number 41: Bagooska the Terribly Tired Tapir,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Spright Elf,1,1.0,0.000%
Spright Sprind,1,1.0,0.000%
side
Necroworld Banshee,1,1.0,0.000%
Ghost Belle & Haunted Mansion,3,3.0,0.000%
Volcanic Scattershot,1,1.0,0.000%
Zombie World,2,2.0,0.000%
Dark Ruler No More,3,3.0,0.000%
Triple Tactics Talent,1,1.0,0.000%
Set Rotation,1,1.0,0.000%
Tearlaments Heartbeat,1,1.0,0.000%
Twin Twisters,2,2.0,0.000%
