Card Name,count,Avg count in decks,In percentage of decks,Harpie Spright Tri-Brigade,deck count: 1
main,,,,,
Tri-Brigade Fraktall,3,3.0,100.000%,,
Tri-Brigade Kerass,3,3.0,100.000%,,
Tri-Brigade Kitt,3,3.0,100.000%,,
Harpie Girl,1,1.0,100.000%,,
Tri-Brigade Nervall,2,2.0,100.000%,,
Spright Blue,3,3.0,100.000%,,
Spright Jet,3,3.0,100.000%,,
Spright Red,1,1.0,100.000%,,
Spright Carrot,1,1.0,100.000%,,
Wind-Up Kitten,1,1.0,100.000%,,
Soul Scissors,1,1.0,100.000%,,
Harpie's Feather Duster,1,1.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
Fire Formation - Tenki,2,2.0,100.000%,,
Spright Starter,3,3.0,100.000%,,
Spright Smashers,1,1.0,100.000%,,
Unexpected Dai,3,3.0,100.000%,,
Dark Ruler No More,3,3.0,100.000%,,
Tri-Brigade Revolt,1,1.0,100.000%,,
Harpie's Feather Storm,3,3.0,100.000%,,
extra,,,,,
Tri-Brigade Ferrijit the Barren Blossom,2,2.0,100.000%,,
Tri-Brigade Bearbrumm the Rampant Rampager,1,1.0,100.000%,,
Spright Sprind,1,1.0,100.000%,,
Spright Elf,2,2.0,100.000%,,
Harpie Conductor,1,1.0,100.000%,,
Ancient Warriors Oath - Double Dragon Lords,1,1.0,100.000%,,
"Hraesvelgr, the Desperate Doom Eagle",1,1.0,100.000%,,
Tri-Brigade Shuraig the Ominous Omen,1,1.0,100.000%,,
Accesscode Talker,1,1.0,100.000%,,
Gigantic Spright,2,2.0,100.000%,,
Downerd Magician,1,1.0,100.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,100.000%,,
side,,,,,
