Card Name,count,Avg count in decks,In percentage of decks,Ishizu Bystial Tearlaments,deck count: 2
main,,,,,
Tearlaments Scheiren,6,3.0,100.000%,,
Tearlaments Havnis,6,3.0,100.000%,,
Tearlaments Merrli,5,2.5,100.000%,,
Tearlaments Reinoheart,4,2.0,100.000%,,
Kelbek the Ancient Vanguard,1,0.5,50.000%,,
Keldo the Sacred Protector,6,3.0,100.000%,,
Mudora the Sword Oracle,6,3.0,100.000%,,
Bystial Magnamhut,6,3.0,100.000%,,
Bystial Druiswurm,6,3.0,100.000%,,
Bystial Saronir,6,3.0,100.000%,,
The Bystial Lubellion,6,3.0,100.000%,,
Terraforming,2,1.0,100.000%,,
Instant Fusion,2,1.0,100.000%,,
Primeval Planet Perlereino,6,3.0,100.000%,,
Tearlaments Scream,3,1.5,100.000%,,
Tearlaments Heartbeat,2,1.0,100.000%,,
Branded Regained,2,1.0,100.000%,,
Branded Beast,2,1.0,100.000%,,
Tearlaments Sulliek,2,1.0,100.000%,,
Tearlaments Cryme,2,1.0,100.000%,,
extra,,,,,
Predaplant Dragostapelia,2,1.0,100.000%,,
"Garura, Wings of Resonant Life",2,1.0,100.000%,,
Mudragon of the Swamp,2,1.0,100.000%,,
Tearlaments Kaleido-Heart,2,1.0,100.000%,,
Tearlaments Kitkallos,2,1.0,100.000%,,
Tearlaments Rulkallos,2,1.0,100.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,0.5,50.000%,,
"Wollow, Founder of the Drudge Dragons",1,0.5,50.000%,,
"Beatrice, Lady of the Eternal",2,1.0,100.000%,,
Time Thief Redoer,2,1.0,100.000%,,
Abyss Dweller,2,1.0,100.000%,,
Number 41: Bagooska the Terribly Tired Tapir,2,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",2,1.0,100.000%,,
Spright Elf,2,1.0,100.000%,,
Spright Sprind,2,1.0,100.000%,,
Knightmare Unicorn,1,0.5,50.000%,,
Accesscode Talker,1,0.5,50.000%,,
side,,,,,
PSY-Framegear Gamma,6,3.0,100.000%,,
PSY-Frame Driver,2,1.0,100.000%,,
Kelbek the Ancient Vanguard,1,0.5,50.000%,,
Volcanic Scattershot,1,0.5,50.000%,,
Necroworld Banshee,1,0.5,50.000%,,
Zombie World,2,1.0,50.000%,,
Twin Twisters,3,1.5,50.000%,,
Triple Tactics Talent,3,1.5,50.000%,,
Ghost Sister & Spooky Dogwood,3,1.5,50.000%,,
Called by the Grave,1,0.5,50.000%,,
Harpie's Feather Duster,1,0.5,50.000%,,
Forbidden Droplet,3,1.5,50.000%,,
Infinite Impermanence,3,1.5,50.000%,,
