Card Name,count,Avg count in decks,In percentage of decks,Ishizu Runick Naturia,deck count: 1
main
Naturia Mole Cricket,3,3.0,100.000%
Naturia Camellia,3,3.0,100.000%
Naturia Sunflower,1,1.0,100.000%
Naturia Sacred Tree,3,3.0,100.000%
Naturia Blessing,2,2.0,100.000%
Keldo the Sacred Protector,3,3.0,100.000%
Mudora the Sword Oracle,3,3.0,100.000%
Kelbek the Ancient Vanguard,3,3.0,100.000%
Bystial Magnamhut,3,3.0,100.000%
Bystial Druiswurm,2,2.0,100.000%
Bystial Saronir,1,1.0,100.000%
Runick Fountain,2,2.0,100.000%
Runick Tip,3,3.0,100.000%
Runick Destruction,3,3.0,100.000%
Runick Freezing Curses,3,3.0,100.000%
Runick Flashing Fire,3,3.0,100.000%
Runick Slumber,3,3.0,100.000%
Runick Smiting Storm,1,1.0,100.000%
extra
Hugin the Runick Wings,2,2.0,0.000%
Geri the Runick Fangs,1,1.0,0.000%
Coral Dragon,1,1.0,0.000%
Stardust Charge Warrior,1,1.0,0.000%
Naturia Beast,1,1.0,0.000%
Baronne de Fleur,1,1.0,0.000%
Swordsoul Supreme Sovereign - Chengying,1,1.0,0.000%
Number 60: Dugares the Timeless,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
Number 41: Bagooska the Terribly Tired Tapir,1,1.0,0.000%
"Beatrice, Lady of the Eternal",1,1.0,0.000%
"Aussa the Earth Charmer, Immovable",1,1.0,0.000%
Knightmare Unicorn,1,1.0,0.000%
Accesscode Talker,1,1.0,0.000%
side
PSY-Framegear Gamma,3,3.0,0.000%
PSY-Frame Driver,1,1.0,0.000%
Bystial Saronir,1,1.0,100.000%
Herald of Orange Light,3,3.0,0.000%
Agido the Ancient Sentinel,2,2.0,0.000%
Skull-Mark Ladybug,1,1.0,0.000%
Gagaga Cowboy,1,1.0,0.000%
Lightning Storm,3,3.0,0.000%
