Card Name,count,Avg count in decks,In percentage of decks,Ishizu Tearlaments,deck count: 30
main,,,,,
Tearlaments Scheiren,90,3.0,100.000%,,
Tearlaments Havnis,90,3.0,100.000%,,
Tearlaments Merrli,86,2.87,100.000%,,
Tearlaments Reinoheart,71,2.37,100.000%,,
Kelbek the Ancient Vanguard,88,2.93,100.000%,,
Agido the Ancient Sentinel,49,1.63,90.000%,,
Mudora the Sword Oracle,88,2.93,100.000%,,
Keldo the Sacred Protector,88,2.93,100.000%,,
Shaddoll Beast,2,0.0667,6.667%,,
Bystial Magnamhut,59,1.97,83.333%,,
Bystial Druiswurm,40,1.33,86.667%,,
Terraforming,29,0.967,96.667%,,
Instant Fusion,30,1.0,100.000%,,
Foolish Burial,4,0.133,13.333%,,
Forbidden Chalice,1,0.0333,3.333%,,
Tearlaments Heartbeat,18,0.6,60.000%,,
Tearlaments Scream,52,1.73,96.667%,,
Primeval Planet Perlereino,90,3.0,100.000%,,
Super Polymerization,26,0.867,36.667%,,
Tearlaments Sulliek,39,1.3,100.000%,,
Tearlaments Cryme,25,0.833,83.333%,,
Herald of Orange Light,51,1.7,73.333%,,
Ghost Belle & Haunted Mansion,4,0.133,6.667%,,
Diviner of the Herald,24,0.8,63.333%,,
Exchange of the Spirit,2,0.0667,6.667%,,
Gravekeeper's Trap,3,0.1,10.000%,,
Triple Tactics Talent,28,0.933,50.000%,,
Infinite Impermanence,8,0.267,10.000%,,
Forbidden Droplet,19,0.633,23.333%,,
Harpie's Feather Duster,1,0.0333,3.333%,,
Called by the Grave,3,0.1,10.000%,,
Bystial Saronir,1,0.0333,3.333%,,
PSY-Framegear Gamma,3,0.1,3.333%,,
PSY-Frame Driver,1,0.0333,3.333%,,
Mask Change II,6,0.2,6.667%,,
Pot of Prosperity,1,0.0333,3.333%,,
Nimble Beaver,2,0.0667,3.333%,,
Nimble Angler,3,0.1,3.333%,,
Spright Blue,1,0.0333,3.333%,,
Spright Jet,1,0.0333,3.333%,,
Knightmare Corruptor Iblee,1,0.0333,3.333%,,
Spright Smashers,1,0.0333,3.333%,,
Upstart Goblin,1,0.0333,3.333%,,
Kashtira Fenrir,2,0.0667,3.333%,,
High Rate Draw,1,0.0333,3.333%,,
Cyber-Stein,3,0.1,10.000%,,
Set Rotation,2,0.0667,6.667%,,
Mystic Mine,4,0.133,6.667%,,
Change of Heart,1,0.0333,3.333%,,
extra,,,,,
Predaplant Dragostapelia,30,1.0,100.000%,,
Mudragon of the Swamp,26,0.867,86.667%,,
Tearlaments Kaleido-Heart,30,1.0,100.000%,,
Tearlaments Kitkallos,37,1.23,100.000%,,
Tearlaments Rulkallos,30,1.0,100.000%,,
El Shaddoll Winda,2,0.0667,6.667%,,
Divine Arsenal AA-ZEUS - Sky Thunder,23,0.767,76.667%,,
Tornado Dragon,2,0.0667,6.667%,,
