Card Name,count,Avg count in decks,In percentage of decks,Ishizu Vernuslyph Madolche,deck count: 1
main
Vernusylph of the Misting Seedlings,3,3.0,100.000%
Vernusylph of the Thawing Mountains,3,3.0,100.000%
Vernusylph of the Flourishing Hills,3,3.0,100.000%
Vernusylph of the Awakening Forests,1,1.0,100.000%
Madolche Anjelly,3,3.0,100.000%
Madolche Magileine,3,3.0,100.000%
Madolche Hootcake,2,2.0,100.000%
Madolche Messengelato,1,1.0,100.000%
Madolche Petingcessoeur,3,3.0,100.000%
Kashtira Fenrir,3,3.0,100.000%
Effect Veiler,2,2.0,100.000%
Keldo the Sacred Protector,3,3.0,100.000%
Mudora the Sword Oracle,3,3.0,100.000%
Bystial Magnamhut,3,3.0,100.000%
Bystial Druiswurm,1,1.0,100.000%
Bystial Saronir,1,1.0,100.000%
Madolche Chateau,1,1.0,100.000%
Madolche Ticket,1,1.0,100.000%
Triple Tactics Talent,1,1.0,100.000%
Madolche Promenade,1,1.0,100.000%
extra
Madolche Puddingcess Chocolat-a-la-Mode,2,2.0,0.000%
Madolche Queen Tiaramisu,2,2.0,0.000%
Madolche Teacher Glassouffle,2,2.0,0.000%
Madolche Fresh Sistart,1,1.0,0.000%
"Donner, Dagger Fur Hire",1,1.0,0.000%
Knightmare Unicorn,1,1.0,0.000%
"Aussa the Earth Charmer, Immovable",1,1.0,0.000%
Accesscode Talker,1,1.0,0.000%
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%
Number 41: Bagooska the Terribly Tired Tapir,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
"Wollow, Founder of the Drudge Dragons",1,1.0,0.000%
side
Madolche Butlerusk,1,1.0,0.000%
Ash Blossom & Joyous Spring,3,3.0,0.000%
The Winged Dragon of Ra - Sphere Mode,3,3.0,0.000%
Dinowrestler Pankratops,1,1.0,0.000%
Bystial Saronir,2,2.0,100.000%
Herald of Orange Light,2,2.0,0.000%
Gate Blocker,1,1.0,0.000%
Zombie World,2,2.0,0.000%
