Card Name,count,Avg count in decks,In percentage of decks,Kashtira Ishizu Tearlaments,deck count: 2
main, , , , , 
Tearlaments Scheiren,6,3.0,100.000%,,
Tearlaments Havnis,6,3.0,100.000%,,
Tearlaments Merrli,6,3.0,100.000%,,
Herald of Orange Light,1,0.5,50.000%,,
Tearlaments Reinoheart,4,2.0,100.000%,,
Chaos Hunter,2,1.0,50.000%,,
Kelbek the Ancient Vanguard,5,2.5,100.000%,,
Keldo the Sacred Protector,6,3.0,100.000%,,
Mudora the Sword Oracle,6,3.0,100.000%,,
Agido the Ancient Sentinel,2,1.0,50.000%,,
Kashtira Fenrir,5,2.5,100.000%,,
Kashtira Unicorn,6,3.0,100.000%,,
Kashtira Birth,2,1.0,100.000%,,
Terraforming,2,1.0,100.000%,,
Instant Fusion,2,1.0,100.000%,,
Tearlaments Scream,3,1.5,100.000%,,
Primeval Planet Perlereino,6,3.0,100.000%,,
Tearlaments Sulliek,2,1.0,100.000%,,
Tearlaments Cryme,1,0.5,50.000%,,
Bystial Magnamhut,3,1.5,50.000%,,
Bystial Druiswurm,3,1.5,50.000%,,
Bystial Saronir,2,1.0,50.000%,,
Infinite Impermanence,3,1.5,50.000%,,
extra, , , , , 
Predaplant Dragostapelia,2,1.0,50.000%,,
"Garura, Wings of Resonant Life",2,1.0,50.000%,,
Mudragon of the Swamp,2,1.0,50.000%,,
Tearlaments Kaleido-Heart,2,1.0,50.000%,,
Tearlaments Kitkallos,3,1.5,50.000%,,
Tearlaments Rulkallos,2,1.0,50.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,2,1.0,50.000%,,
Number 89: Diablosis the Mind Hacker,1,0.5,0.000%,,
Number 60: Dugares the Timeless,1,0.5,0.000%,,
Abyss Dweller,2,1.0,50.000%,,
Number 41: Bagooska the Terribly Tired Tapir,2,1.0,50.000%,,
"Dharc the Dark Charmer, Gloomy",2,1.0,50.000%,,
Spright Elf,2,1.0,50.000%,,
Spright Sprind,2,1.0,50.000%,,
Mecha Phantom Beast Dracossack,1,0.5,50.000%,,
"Wollow, Founder of the Drudge Dragons",1,0.5,50.000%,,
Time Thief Redoer,1,0.5,50.000%,,
side, , , , , 
Ghost Sister & Spooky Dogwood,3,1.5,0.000%,,
Chaos Hunter,1,0.5,50.000%,,
Necroworld Banshee,2,1.0,50.000%,,
Zombie World,2,1.0,50.000%,,
Tearlaments Heartbeat,1,0.5,0.000%,,
Forbidden Droplet,5,2.5,50.000%,,
Harpie's Feather Duster,1,0.5,0.000%,,
Called by the Grave,1,0.5,0.000%,,
Lightning Storm,5,2.5,50.000%,,
Super Polymerization,2,1.0,0.000%,,
Ghost Belle & Haunted Mansion,3,1.5,50.000%,,
Volcanic Scattershot,1,0.5,50.000%,,
Triple Tactics Talent,3,1.5,50.000%,,
