Card Name,count,Avg count in decks,In percentage of decks,Kashtira Mekk-Knight,deck count: 1
main, , , , , 
Mekk-Knight Purple Nightfall,3,3.0,100.000%,,
Mekk-Knight Blue Sky,3,3.0,100.000%,,
"Girsu, the Orcust Mekk-Knight",3,3.0,100.000%,,
"World Legacy - ""World Chalice""",1,1.0,100.000%,,
Kashtira Unicorn,3,3.0,100.000%,,
Kashtira Fenrir,3,3.0,100.000%,,
Mekk-Knight Indigo Eclipse,1,1.0,100.000%,,
Mekk-Knight Yellow Star,1,1.0,100.000%,,
Mekk-Knight Red Moon,1,1.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
Dark Ruler No More,3,3.0,100.000%,,
Pot of Prosperity,3,3.0,100.000%,,
Kashtira Birth,1,1.0,100.000%,,
World Legacy's Memory,3,3.0,100.000%,,
Triple Tactics Talent,1,1.0,100.000%,,
World Legacy Succession,1,1.0,100.000%,,
Cosmic Cyclone,2,2.0,100.000%,,
World Legacy's Secret,3,3.0,100.000%,,
Evenly Matched,3,3.0,100.000%,,
extra, , , , , 
Salamangreat Almiraj,1,1.0,0.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%,,
Lib the World Key Blademaster,2,2.0,0.000%,,
I:P Masquerena,1,1.0,0.000%,,
Mekk-Knight of the Morning Star,2,2.0,0.000%,,
Mekk-Knight Spectrum Supreme,1,1.0,0.000%,,
Underworld Goddess of the Closed World,1,1.0,0.000%,,
Mekk-Knight Crusadia Avramax,1,1.0,0.000%,,
"Galatea, the Orcust Automaton",1,1.0,0.000%,,
"Dingirsu, the Orcust of the Evening Star",1,1.0,0.000%,,
Kashtira Shangri-Ira,1,1.0,0.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%,,
Mecha Phantom Beast Dracossack,1,1.0,0.000%,,
side, , , , , 
Knightmare Corruptor Iblee,3,3.0,0.000%,,
Ghost Sister & Spooky Dogwood,3,3.0,0.000%,,
Dimension Shifter,3,3.0,0.000%,,
Harpie's Feather Duster,1,1.0,0.000%,,
Different Dimension Ground,2,2.0,0.000%,,
Dimensional Barrier,3,3.0,0.000%,,
