Card Name,count,Avg count in decks,In percentage of decks,Kashtira,deck count: 1
main
Kashtira Fenrir,3,3.0,100.000%,,
Kashtira Unicorn,3,3.0,100.000%,,
Kashtira Ogre,2,2.0,100.000%,,
Psi-Beast,2,2.0,100.000%,,
The Ascended of Thunder,3,3.0,100.000%,,
Astral Kuriboh,1,1.0,100.000%,,
Danger! Nessie!,2,2.0,100.000%,,
Ash Blossom & Joyous Spring,3,3.0,100.000%,,
Dimension Shifter,3,3.0,100.000%,,
Danger!? Jackalope?,1,1.0,100.000%,,
Dinowrestler Pankratops,1,1.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
Pot of Desires,2,2.0,100.000%,,
Dimensional Fissure,1,1.0,100.000%,,
Kashtira Birth,3,3.0,100.000%,,
Instant Contact,2,2.0,100.000%,,
Triple Tactics Talent,2,2.0,100.000%,,
Sacred Sword of Seven Stars,3,3.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
Macro Cosmos,1,1.0,100.000%,,
Kashtira Preparations,1,1.0,100.000%,,
extra
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%,,
Number 28: Titanic Moth,1,1.0,0.000%,,
Dark Anthelion Dragon,1,1.0,0.000%,,
Red-Eyes Flare Metal Dragon,1,1.0,0.000%,,
Number 11: Big Eye,1,1.0,0.000%,,
Number 89: Diablosis the Mind Hacker,2,2.0,0.000%,,
Kashtira Shangri-Ira,2,2.0,0.000%,,
Baronne de Fleur,1,1.0,0.000%,,
Swordsoul Supreme Sovereign - Chengying,1,1.0,0.000%,,
Knightmare Phoenix,1,1.0,0.000%,,
Knightmare Unicorn,1,1.0,0.000%,,
Black Luster Soldier - Soldier of Chaos,1,1.0,0.000%,,
Elemental HERO Flare Neos,1,1.0,0.000%,,
side
Lava Golem,3,3.0,0.000%,,
Ghost Belle & Haunted Mansion,3,3.0,0.000%,,
Harpie's Feather Duster,1,1.0,0.000%,,
Cosmic Cyclone,2,2.0,0.000%,,
Anti-Spell Fragrance,3,3.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
