Card Name,count,Avg count in decks,In percentage of decks,Lyrilusc Tri-Brigade,deck count: 1
main
Tri-Brigade Fraktall,3,3.0,100.000%
Tri-Brigade Kerass,2,2.0,100.000%
Tri-Brigade Kitt,2,2.0,100.000%
Tri-Brigade Nervall,2,2.0,100.000%
Tri-Brigade Mercourier,1,1.0,100.000%
Albion the Shrouded Dragon,1,1.0,100.000%
Ash Blossom & Joyous Spring,3,3.0,100.000%
Lyrilusc - Turquoise Warbler,3,3.0,100.000%
Lyrilusc - Cobalt Sparrow,2,2.0,100.000%
Lyrilusc - Sapphire Swallow,1,1.0,100.000%
D.D. Crow,3,3.0,100.000%
Lyrilusc - Bird Call,3,3.0,100.000%
Forbidden Droplet,3,3.0,100.000%
Foolish Burial Goods,1,1.0,100.000%
Fire Formation - Tenki,3,3.0,100.000%
Called by the Grave,1,1.0,100.000%
One for One,1,1.0,100.000%
Infinite Impermanence,3,3.0,100.000%
Branded Sword,1,1.0,100.000%
Tri-Brigade Revolt,2,2.0,100.000%
extra
Salamangreat Almiraj,1,1.0,0.000%
Tri-Brigade Ferrijit the Barren Blossom,2,2.0,0.000%
Tri-Brigade Bearbrumm the Rampant Rampager,1,1.0,0.000%
Tri-Brigade Rugal the Silver Sheller,1,1.0,0.000%
Ancient Warriors Oath - Double Dragon Lords,1,1.0,0.000%
"Apollousa, Bow of the Goddess",1,1.0,0.000%
Accesscode Talker,1,1.0,0.000%
Tri-Brigade Shuraig the Ominous Omen,3,3.0,0.000%
Lyrilusc - Recital Starling,2,2.0,0.000%
Number F0: Utopic Future,1,1.0,0.000%
Number F0: Utopic Draco Future,1,1.0,0.000%
side
Droll & Lock Bird,3,3.0,0.000%
Twin Twisters,3,3.0,0.000%
Evenly Matched,3,3.0,0.000%
Different Dimension Ground,3,3.0,0.000%
Dimensional Barrier,3,3.0,0.000%
