Card Name,count,Avg count in decks,In percentage of decks,Magician Dracoslayer,deck count: 4
main,,,,,
Kashtira Fenrir,5,1.25,50.000%,,
"Nibiru, the Primal Being",1,0.25,25.000%,,
Dimension Shifter,3,0.75,25.000%,,
Astrograph Sorcerer,4,1.0,100.000%,,
"Majesty Pegasus, the Dracoslayer",12,3.0,100.000%,,
"Ignis Phoenix, the Dracoslayer",12,3.0,100.000%,,
"Dinomight Powerload, the Dracoslayer",12,3.0,100.000%,,
"Luster Pendulum, the Dracoslayer",12,3.0,100.000%,,
"Master Pendulum, the Dracoslayer",7,1.75,100.000%,,
Majespecter Raccoon - Bunbuku,12,3.0,100.000%,,
Purple Poison Magician,9,2.25,100.000%,,
Harmonizing Magician,10,2.5,100.000%,,
Odd-Eyes Revolution Dragon,12,3.0,100.000%,,
Performapal Skullcrobat Joker,7,1.75,100.000%,,
Duelist Alliance,1,0.25,25.000%,,
Sky Iris,4,1.0,100.000%,,
Necrovalley,3,0.75,75.000%,,
Triple Tactics Talent,11,2.75,100.000%,,
Reinforcement of the Army,3,0.75,75.000%,,
Called by the Grave,1,0.25,25.000%,,
Bystial Magnamhut,6,1.5,50.000%,,
Bystial Druiswurm,3,0.75,50.000%,,
Odd-Eyes Arc Pendulum Dragon,1,0.25,25.000%,,
Performapal Odd-Eyes Dissolver,1,0.25,25.000%,,
Performapal Odd-Eyes Seer,2,0.5,25.000%,,
Dinomist Charge,3,0.75,50.000%,,
Performapal Odd-Eyes Synchron,1,0.25,25.000%,,
Performapal Monkeyboard,1,0.25,25.000%,,
Archfiend Eccentrick,1,0.25,25.000%,,
Amorphage Sloth,1,0.25,25.000%,,
Artifact Scythe,1,0.25,25.000%,,
Pot of Desires,2,0.5,25.000%,,
extra,,,,,
"Dinoster Power, the Mighty Dracoslayer",4,1.0,100.000%,,
"Ignister Prominence, the Blasting Dracoslayer",7,1.75,100.000%,,
Number 38: Hope Harbinger Dragon Titanic Galaxy,3,0.75,75.000%,,
Number 41: Bagooska the Terribly Tired Tapir,4,1.0,100.000%,,
"Majester Paladin, the Ascending Dracoslayer",4,1.0,100.000%,,
Gallant Granite,1,0.25,25.000%,,
Abyss Dweller,4,1.0,100.000%,,
Accesscode Talker,2,0.5,50.000%,,
I:P Masquerena,2,0.5,50.000%,,
Knightmare Unicorn,2,0.5,25.000%,,
Worldsea Dragon Zealantis,3,0.75,75.000%,,
"Apollousa, Bow of the Goddess",4,1.0,100.000%,,
"Selene, Queen of the Master Magicians",4,1.0,100.000%,,
Beyond the Pendulum,6,1.5,100.000%,,
Odd-Eyes Vortex Dragon,1,0.25,25.000%,,
Tornado Dragon,1,0.25,25.000%,,
Baronne de Fleur,1,0.25,25.000%,,
Tilting Entrainment,1,0.25,25.000%,,
"Dharc the Dark Charmer, Gloomy",1,0.25,25.000%,,
Hieratic Seal of the Heavenly Spheres,1,0.25,25.000%,,
Elder Entity N'tss,1,0.25,25.000%,,
Scarlight Red Dragon Archfiend,1,0.25,25.000%,,
Borreload Savage Dragon,1,0.25,25.000%,,
Artifact Dagda,1,0.25,25.000%,,
side,,,,,
Scarlight Red Dragon Archfiend,3,0.75,75.000%,,
The Winged Dragon of Ra - Sphere Mode,6,1.5,50.000%,,
Lightning Storm,6,1.5,50.000%,,
Harpie's Feather Duster,4,1.0,100.000%,,
Zombie World,3,0.75,75.000%,,
Dark Ruler No More,5,1.25,50.000%,,
Guiding Ariadne,3,0.75,50.000%,,
Solemn Judgment,6,1.5,50.000%,,
Dimension Shifter,3,0.75,25.000%,,
Cosmic Cyclone,8,2.0,75.000%,,
Dark Hole,1,0.25,25.000%,,
Change of Heart,1,0.25,25.000%,,
Mind Control,1,0.25,25.000%,,
Necrovalley,2,0.5,50.000%,,
Secret Village of the Spellcasters,2,0.5,50.000%,,
Mystic Mine,1,0.25,25.000%,,
Evenly Matched,3,0.75,25.000%,,
Dimensional Barrier,2,0.5,25.000%,,
