Card Name,count,Avg count in decks,In percentage of decks,Mystic Mine Ishizu Tearlaments,deck count: 4
main,,,,,
Tearlaments Scheiren,12,3.0,100.000%,,
Tearlaments Havnis,12,3.0,100.000%,,
Tearlaments Merrli,12,3.0,100.000%,,
Tearlaments Reinoheart,9,2.25,100.000%,,
Herald of Orange Light,6,1.5,50.000%,,
Kelbek the Ancient Vanguard,11,2.75,100.000%,,
Keldo the Sacred Protector,11,2.75,100.000%,,
Agido the Ancient Sentinel,8,2.0,100.000%,,
Mudora the Sword Oracle,10,2.5,100.000%,,
Terraforming,4,1.0,100.000%,,
Instant Fusion,4,1.0,100.000%,,
Set Rotation,3,0.75,75.000%,,
Mystic Mine,12,3.0,100.000%,,
Primeval Planet Perlereino,12,3.0,100.000%,,
Tearlaments Scream,5,1.25,75.000%,,
Tearlaments Heartbeat,3,0.75,75.000%,,
Tearlaments Sulliek,7,1.75,100.000%,,
Tearlaments Cryme,3,0.75,75.000%,,
Bystial Druiswurm,2,0.5,50.000%,,
Double or Nothing!,2,0.5,50.000%,,
Triple Tactics Talent,5,1.25,50.000%,,
Metaverse,1,0.25,25.000%,,
World Soul - Carbon,2,0.5,25.000%,,
Diviner of the Herald,1,0.25,25.000%,,
Gravekeeper's Trap,1,0.25,25.000%,,
Exchange of the Spirit,1,0.25,25.000%,,
Demise of the Land,2,0.5,25.000%,,
Forbidden Droplet,2,0.5,25.000%,,
extra,,,,,
Predaplant Dragostapelia,4,1.0,100.000%,,
"Garura, Wings of Resonant Life",4,1.0,100.000%,,
Tearlaments Kaleido-Heart,4,1.0,100.000%,,
Tearlaments Kitkallos,4,1.0,100.000%,,
Tearlaments Rulkallos,4,1.0,100.000%,,
Baronne de Fleur,2,0.5,50.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,3,0.75,75.000%,,
Time Thief Redoer,2,0.5,50.000%,,
Abyss Dweller,4,1.0,100.000%,,
Number 41: Bagooska the Terribly Tired Tapir,2,0.5,50.000%,,
"Dharc the Dark Charmer, Gloomy",4,1.0,100.000%,,
Spright Elf,5,1.25,100.000%,,
Spright Sprind,4,1.0,100.000%,,
Beat Cop from the Underworld,2,0.5,50.000%,,
"Aussa the Earth Charmer, Immovable",1,0.25,25.000%,,
Mudragon of the Swamp,2,0.5,50.000%,,
Number 39: Utopia,2,0.5,25.000%,,
Number 39: Utopia Double,2,0.5,50.000%,,
Knightmare Phoenix,2,0.5,50.000%,,
Elder Entity N'tss,1,0.25,25.000%,,
Gigantic Spright,1,0.25,25.000%,,
Borreload Dragon,1,0.25,25.000%,,
side,,,,,
Ghost Sister & Spooky Dogwood,9,2.25,75.000%,,
"Nibiru, the Primal Being",3,0.75,25.000%,,
Necroworld Banshee,1,0.25,25.000%,,
Zombie World,3,0.75,25.000%,,
Triple Tactics Talent,3,0.75,25.000%,,
Foolish Burial,1,0.25,25.000%,,
Metaverse,1,0.25,25.000%,,
Volcanic Scattershot,3,0.75,75.000%,,
Twin Twisters,5,1.25,50.000%,,
Dark Hole,5,1.25,50.000%,,
The Winged Dragon of Ra - Sphere Mode,8,2.0,75.000%,,
Bystial Magnamhut,7,1.75,75.000%,,
Bystial Druiswurm,1,0.25,25.000%,,
Ghost Reaper & Winter Cherries,3,0.75,25.000%,,
Lightning Storm,3,0.75,25.000%,,
Called by the Grave,1,0.25,25.000%,,
Harpie's Feather Duster,1,0.25,25.000%,,
Skill Drain,2,0.5,25.000%,,
