Card Name,count,Avg count in decks,In percentage of decks,Mystic Mine Runick,deck count: 1
main,,,,,
Lava Golem,2,2.0,100.000%,,
Runick Golden Droplet,1,1.0,100.000%,,
Runick Smiting Storm,1,1.0,100.000%,,
Runick Slumber,1,1.0,100.000%,,
Runick Freezing Curses,3,3.0,100.000%,,
Runick Tip,3,3.0,100.000%,,
Runick Destruction,3,3.0,100.000%,,
Runick Flashing Fire,3,3.0,100.000%,,
Pot of Extravagance,3,3.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Runick Fountain,1,1.0,100.000%,,
Mystic Mine,3,3.0,100.000%,,
Demise of the Land,3,3.0,100.000%,,
Solemn Judgment,2,2.0,100.000%,,
Metaverse,1,1.0,100.000%,,
Rivalry of Warlords,3,3.0,100.000%,,
Gozen Match,3,3.0,100.000%,,
Soul Drain,3,3.0,100.000%,,
extra,,,,,
Freki the Runick Fangs,3,3.0,100.000%,,
Geri the Runick Fangs,3,3.0,100.000%,,
Munin the Runick Wings,3,3.0,100.000%,,
Hugin the Runick Wings,3,3.0,100.000%,,
Gravity Controller,2,2.0,100.000%,,
Linguriboh,1,1.0,100.000%,,
side,,,,,
Lava Golem,1,1.0,100.000%,,
The Winged Dragon of Ra - Sphere Mode,2,2.0,100.000%,,
Dimension Shifter,3,3.0,100.000%,,
Dimensional Fissure,1,1.0,100.000%,,
Runick Fountain,1,1.0,100.000%,,
Cosmic Cyclone,2,2.0,100.000%,,
There Can Be Only One,3,3.0,100.000%,,
Cursed Seal of the Forbidden Spell,2,2.0,100.000%,,
