Card Name,count,Avg count in decks,In percentage of decks,Naturia Spright Ishizu Tearlaments,deck count: 1
main,,,,,
Tearlaments Scheiren,3,3.0,100.000%,,
Tearlaments Havnis,3,3.0,100.000%,,
Tearlaments Merrli,2,2.0,100.000%,,
Tearlaments Reinoheart,1,1.0,100.000%,,
Nimble Beaver,2,2.0,100.000%,,
Keldo the Sacred Protector,3,3.0,100.000%,,
Mudora the Sword Oracle,3,3.0,100.000%,,
Naturia Mole Cricket,3,3.0,100.000%,,
Naturia Camellia,1,1.0,100.000%,,
Naturia Sunflower,1,1.0,100.000%,,
Spright Blue,1,1.0,100.000%,,
Spright Jet,1,1.0,100.000%,,
Nimble Angler,1,1.0,100.000%,,
King of the Swamp,3,3.0,100.000%,,
Instant Fusion,1,1.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Foolish Burial,1,1.0,100.000%,,
Tearlaments Scream,2,2.0,100.000%,,
Primeval Planet Perlereino,3,3.0,100.000%,,
Spright Smashers,1,1.0,100.000%,,
Polymerization,1,1.0,100.000%,,
Tearlaments Sulliek,2,2.0,100.000%,,
Tearlaments Cryme,1,1.0,100.000%,,
extra,,,,,
Predaplant Dragostapelia,1,1.0,100.000%,,
Guardian Chimera,1,1.0,100.000%,,
"Grapha, Dragon Overlord of Dark World",1,1.0,100.000%,,
Tearlaments Kaleido-Heart,1,1.0,100.000%,,
Tearlaments Kitkallos,1,1.0,100.000%,,
Tearlaments Rulkallos,1,1.0,100.000%,,
Muddy Mudragon,1,1.0,100.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,100.000%,,
Gigantic Spright,1,1.0,100.000%,,
Abyss Dweller,1,1.0,100.000%,,
Number 41: Bagooska the Terribly Tired Tapir,1,1.0,100.000%,,
Spright Elf,1,1.0,100.000%,,
Spright Sprind,1,1.0,100.000%,,
Underworld Goddess of the Closed World,1,1.0,100.000%,,
I:P Masquerena,1,1.0,100.000%,,
side,,,,,
Red Resonator,1,1.0,100.000%,,
Dark Ruler No More,3,3.0,100.000%,,
Harpie's Feather Duster,1,1.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
Forbidden Chalice,3,3.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
Evenly Matched,3,3.0,100.000%,,
