Card Name,count,Avg count in decks,In percentage of decks,Ostinato Trickstar,deck count: 1
main
Aria the Melodious Diva,1,1.0,100.000%,,
Elegy the Melodious Diva,1,1.0,100.000%,,
Barrier Statue of the Heavens,2,2.0,100.000%,,
Condemned Witch,2,2.0,100.000%,,
Honest,2,2.0,100.000%,,
Trickstar Narkissus,1,1.0,100.000%,,
Trickstar Lilybell,1,1.0,100.000%,,
Trickstar Candina,3,3.0,100.000%,,
Trickstar Lycoris,2,2.0,100.000%,,
Ghost Ogre & Snow Rabbit,2,2.0,100.000%,,
Pot of Extravagance,3,3.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Trickstar Light Stage,3,3.0,100.000%,,
Ostinato,3,3.0,100.000%,,
Ties of the Brethren,3,3.0,100.000%,,
Forbidden Chalice,2,2.0,100.000%,,
Lost Wind,3,3.0,100.000%,,
Solemn Judgment,3,3.0,100.000%,,
Solemn Warning,2,2.0,100.000%,,
extra
Schuberta the Melodious Maestra,3,3.0,0.000%,,
Dark Rebellion Xyz Dragon,1,1.0,0.000%,,
Drill Driver Vespenato,1,1.0,0.000%,,
Light Dragon @Ignister,1,1.0,0.000%,,
Time Thief Redoer,1,1.0,0.000%,,
Tornado Dragon,1,1.0,0.000%,,
Borreload Dragon,2,2.0,0.000%,,
Codebreaker Virus Swordsman,1,1.0,0.000%,,
"Puzzlomino, the Drop-n-Deleter",2,2.0,0.000%,,
Stardust Dragon,2,2.0,0.000%,,
side
Dinowrestler Pankratops,1,1.0,0.000%,,
"Radian, the Multidimensional Kaiju",2,2.0,0.000%,,
Ash Blossom & Joyous Spring,2,2.0,0.000%,,
Effect Veiler,1,1.0,0.000%,,
Dark Hole,2,2.0,0.000%,,
Power Filter,3,3.0,0.000%,,
Cosmic Cyclone,2,2.0,0.000%,,
Twin Twisters,2,2.0,0.000%,,
