Card Name,count,Avg count in decks,In percentage of decks,Runick Mystic Mine,deck count: 2
main
Amano-Iwato,2,1.0,50.000%
Dimensional Fissure,1,0.5,50.000%
Mystic Mine,6,3.0,100.000%
Runick Fountain,2,1.0,50.000%
Terraforming,2,1.0,100.000%
Demise of the Land,6,3.0,100.000%
Runick Destruction,6,3.0,100.000%
Runick Dispelling,1,0.5,50.000%
Runick Flashing Fire,3,1.5,50.000%
Runick Freezing Curses,6,3.0,100.000%
Runick Golden Droplet,1,0.5,50.000%
Runick Slumber,3,1.5,50.000%
Runick Smiting Storm,1,0.5,50.000%
Runick Tip,6,3.0,100.000%
Rivalry of Warlords,5,2.5,100.000%
Skill Drain,2,1.0,50.000%
There Can Be Only One,2,1.0,50.000%
Solemn Judgment,6,3.0,100.000%
Metaverse,2,1.0,100.000%
The Winged Dragon of Ra - Sphere Mode,3,1.5,50.000%
Dimension Shifter,3,1.5,50.000%
Pot of Extravagance,1,0.5,50.000%
Pot of Duality,3,1.5,50.000%
Pot of Prosperity,3,1.5,50.000%
Lightning Storm,1,0.5,50.000%
Dark Bribe,3,1.5,50.000%
extra
Freki the Runick Fangs,4,2.0,50.000%
Geri the Runick Fangs,5,2.5,50.000%
Munin the Runick Wings,5,2.5,50.000%
Hugin the Runick Wings,6,3.0,50.000%
Number 41: Bagooska the Terribly Tired Tapir,1,0.5,0.000%
Evilswarm Exciton Knight,1,0.5,0.000%
Gagaga Cowboy,1,0.5,0.000%
Number 60: Dugares the Timeless,1,0.5,0.000%
Barricadeborg Blocker,1,0.5,0.000%
Linguriboh,1,0.5,0.000%
Salamangreat Almiraj,1,0.5,50.000%
Secure Gardna,1,0.5,50.000%
"Dharc the Dark Charmer, Gloomy",1,0.5,50.000%
Beat Cop from the Underworld,1,0.5,50.000%
side
Lava Golem,5,2.5,50.000%
Majesty's Fiend,3,1.5,0.000%
Ghost Sister & Spooky Dogwood,2,1.0,0.000%
Emergency Provisions,2,1.0,0.000%
Cursed Seal of the Forbidden Spell,5,2.5,50.000%
Dark Bribe,3,1.5,0.000%
Pop-Up,1,0.5,50.000%
Harpie's Feather Duster,1,0.5,50.000%
Lightning Storm,2,1.0,50.000%
Gozen Match,3,1.5,50.000%
There Can Be Only One,3,1.5,100.000%
