Card Name,count,Avg count in decks,In percentage of decks,Runick,deck count: 1
main,,,,,
Terraforming,1,1.0,100.000%,,
Card of Demise,1,1.0,100.000%,,
Pot of Desires,2,2.0,100.000%,,
Messenger of Peace,3,3.0,100.000%,,
Pot of Duality,3,3.0,100.000%,,
Runick Smiting Storm,1,1.0,100.000%,,
Runick Golden Droplet,1,1.0,100.000%,,
Runick Dispelling,1,1.0,100.000%,,
Runick Slumber,3,3.0,100.000%,,
Runick Freezing Curses,3,3.0,100.000%,,
Runick Tip,3,3.0,100.000%,,
Runick Destruction,3,3.0,100.000%,,
Runick Flashing Fire,3,3.0,100.000%,,
Runick Fountain,3,3.0,100.000%,,
Skill Drain,3,3.0,100.000%,,
Rivalry of Warlords,3,3.0,100.000%,,
There Can Be Only One,3,3.0,100.000%,,
extra,,,,,
Geri the Runick Fangs,3,3.0,100.000%,,
Munin the Runick Wings,3,3.0,100.000%,,
Hugin the Runick Wings,3,3.0,100.000%,,
Freki the Runick Fangs,3,3.0,100.000%,,
Elder Entity N'tss,1,1.0,100.000%,,
Invoked Mechaba,1,1.0,100.000%,,
Cyber Dragon Nova,1,1.0,100.000%,,
side,,,,,
Majesty's Fiend,3,3.0,100.000%,,
Lava Golem,3,3.0,100.000%,,
Ghost Sister & Spooky Dogwood,3,3.0,100.000%,,
Evenly Matched,3,3.0,100.000%,,
Dark Bribe,3,3.0,100.000%,,
