Card Name,count,Avg count in decks,In percentage of decks,Salvation Ishizu Tearlaments,deck count: 3
main,,,,,
Crystal Beast Emerald Tortoise,3,1.0,100.000%,,
Tearlaments Scheiren,9,3.0,100.000%,,
Tearlaments Havnis,9,3.0,100.000%,,
Tearlaments Merrli,9,3.0,100.000%,,
Tearlaments Reinoheart,5,1.67,100.000%,,
Herald of Orange Light,4,1.33,66.667%,,
Diviner of the Herald,3,1.0,66.667%,,
Kelbek the Ancient Vanguard,9,3.0,100.000%,,
Keldo the Sacred Protector,9,3.0,100.000%,,
Mudora the Sword Oracle,9,3.0,100.000%,,
Agido the Ancient Sentinel,8,2.67,100.000%,,
Bystial Druiswurm,4,1.33,100.000%,,
Terraforming,2,0.667,66.667%,,
Instant Fusion,3,1.0,100.000%,,
Tearlaments Scream,1,0.333,33.333%,,
Tearlaments Heartbeat,1,0.333,33.333%,,
Primeval Planet Perlereino,9,3.0,100.000%,,
Foolish Burial Goods,3,1.0,33.333%,,
Tearlaments Sulliek,3,1.0,100.000%,,
Rainbow Bridge of Salvation,5,1.67,100.000%,,
Exchange of the Spirit,2,0.667,66.667%,,
Gravekeeper's Trap,2,0.667,66.667%,,
Bystial Magnamhut,3,1.0,33.333%,,
Mystic Mine,2,0.667,66.667%,,
Cosmic Cyclone,1,0.333,33.333%,,
Forbidden Droplet,3,1.0,33.333%,,
extra,,,,,
Predaplant Dragostapelia,3,1.0,100.000%,,
"Garura, Wings of Resonant Life",3,1.0,100.000%,,
Mudragon of the Swamp,2,0.667,66.667%,,
Tearlaments Kaleido-Heart,3,1.0,100.000%,,
Tearlaments Kitkallos,3,1.0,100.000%,,
Tearlaments Rulkallos,3,1.0,100.000%,,
Baronne de Fleur,2,0.667,66.667%,,
Divine Arsenal AA-ZEUS - Sky Thunder,3,1.0,100.000%,,
Time Thief Redoer,1,0.333,33.333%,,
Abyss Dweller,3,1.0,100.000%,,
Number 41: Bagooska the Terribly Tired Tapir,3,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",3,1.0,100.000%,,
Spright Elf,3,1.0,100.000%,,
Spright Sprind,3,1.0,100.000%,,
Underworld Goddess of the Closed World,1,0.333,33.333%,,
"Beatrice, Lady of the Eternal",1,0.333,33.333%,,
I:P Masquerena,1,0.333,33.333%,,
Mekk-Knight Crusadia Avramax,1,0.333,33.333%,,
Elder Entity N'tss,1,0.333,33.333%,,
Evilswarm Exciton Knight,1,0.333,33.333%,,
Knightmare Unicorn,1,0.333,33.333%,,
side,,,,,
Volcanic Scattershot,3,1.0,100.000%,,
Lightning Storm,1,0.333,33.333%,,
Harpie's Feather Duster,1,0.333,33.333%,,
Super Polymerization,6,2.0,66.667%,,
Tearlaments Cryme,3,1.0,100.000%,,
Skill Drain,2,0.667,33.333%,,
Evenly Matched,3,1.0,33.333%,,
Infinite Impermanence,3,1.0,33.333%,,
PSY-Framegear Gamma,3,1.0,33.333%,,
PSY-Frame Driver,1,0.333,33.333%,,
Swords of Concealing Light,3,1.0,33.333%,,
There Can Be Only One,3,1.0,33.333%,,
Ghost Sister & Spooky Dogwood,3,1.0,33.333%,,
World Soul - Carbon,3,1.0,33.333%,,
Triple Tactics Talent,3,1.0,33.333%,,
Twin Twisters,3,1.0,33.333%,,
Tearlaments Heartbeat,1,0.333,33.333%,,
