Card Name,count,Avg count in decks,In percentage of decks,Salvation Runick Tearlaments,deck count: 1
main
Tearlaments Scheiren,3,3.0,100.000%
Tearlaments Havnis,3,3.0,100.000%
Tearlaments Merrli,3,3.0,100.000%
Tearlaments Reinoheart,1,1.0,100.000%
PSY-Framegear Gamma,3,3.0,100.000%
PSY-Frame Driver,1,1.0,100.000%
Crystal Beast Emerald Tortoise,1,1.0,100.000%
Primeval Planet Perlereino,2,2.0,100.000%
Runick Fountain,2,2.0,100.000%
Foolish Burial Goods,2,2.0,100.000%
Instant Fusion,1,1.0,100.000%
Runick Tip,3,3.0,100.000%
Runick Freezing Curses,3,3.0,100.000%
Runick Slumber,3,3.0,100.000%
Runick Flashing Fire,3,3.0,100.000%
Runick Destruction,3,3.0,100.000%
Runick Dispelling,1,1.0,100.000%
Super Polymerization,3,3.0,100.000%
Rainbow Bridge of Salvation,1,1.0,100.000%
extra
Tearlaments Kaleido-Heart,1,1.0,0.000%
Tearlaments Kitkallos,1,1.0,0.000%
Predaplant Dragostapelia,1,1.0,0.000%
"Garura, Wings of Resonant Life",1,1.0,0.000%
Mudragon of the Swamp,1,1.0,0.000%
Spright Elf,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Underworld Goddess of the Closed World,1,1.0,0.000%
Toadally Awesome,1,1.0,0.000%
Gigantic Spright,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
Time Thief Redoer,1,1.0,0.000%
Geri the Runick Fangs,1,1.0,0.000%
Hugin the Runick Wings,2,2.0,0.000%
side
Lava Golem,3,3.0,0.000%
"Nibiru, the Primal Being",3,3.0,0.000%
Dinowrestler Pankratops,1,1.0,0.000%
Called by the Grave,1,1.0,0.000%
Secret Village of the Spellcasters,1,1.0,0.000%
World Dino Wrestling,1,1.0,0.000%
Cosmic Cyclone,2,2.0,0.000%
Skill Drain,2,2.0,0.000%
Munin the Runick Wings,1,1.0,0.000%
