Card Name,count,Avg count in decks,In percentage of decks,Scareclaw Adventurer Danger Tearlaments,deck count: 1
main
"Nibiru, the Primal Being",3,3.0,100.000%
"Gizmek Orochi, the Serpentron Sky Slasher",1,1.0,100.000%
Wandering Gryphon Rider,1,1.0,100.000%
Illegal Knight,1,1.0,100.000%
Danger! Nessie!,3,3.0,100.000%
Visas Starfrost,3,3.0,100.000%
Tearlaments Scheiren,3,3.0,100.000%
Danger! Mothman!,1,1.0,100.000%
Blackwing - Zephyros the Elite,1,1.0,100.000%
Scareclaw Reichheart,1,1.0,100.000%
Tearlaments Reinoheart,3,3.0,100.000%
Tearlaments Havnis,3,3.0,100.000%
Water Enchantress of the Temple,3,3.0,100.000%
Danger!? Tsuchinoko?,1,1.0,100.000%
Danger!? Jackalope?,1,1.0,100.000%
Ghost Mourner & Moonlit Chill,3,3.0,100.000%
Tearlaments Merrli,3,3.0,100.000%
Fateful Adventure,1,1.0,100.000%
"Dracoback, the Rideable Dragon",1,1.0,100.000%
Primeval Planet Perlereino,3,3.0,100.000%
Primitive Planet Reichphobia,1,1.0,100.000%
Foolish Burial,1,1.0,100.000%
Instant Fusion,1,1.0,100.000%
Rite of Aramesir,3,3.0,100.000%
Scareclaw Arrival,1,1.0,100.000%
Terraforming,1,1.0,100.000%
Super Polymerization,3,3.0,100.000%
Tearlaments Sulliek,3,3.0,100.000%
Infinite Impermanence,3,3.0,100.000%
extra
Tearlaments Kaleido-Heart,1,1.0,0.000%
Predaplant Dragostapelia,1,1.0,0.000%
"Garura, Wings of Resonant Life",1,1.0,0.000%
Tearlaments Kitkallos,1,1.0,0.000%
Mudragon of the Swamp,1,1.0,0.000%
Baronne de Fleur,1,1.0,0.000%
Time Thief Redoer,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
Topologic Bomber Dragon,1,1.0,0.000%
"Curious, the Lightsworn Dominion",1,1.0,0.000%
Knightmare Unicorn,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Spright Elf,1,1.0,0.000%
I:P Masquerena,1,1.0,0.000%
Scareclaw Light-Heart,1,1.0,0.000%
side
Ghost Reaper & Winter Cherries,3,3.0,0.000%
Gagaga Cowboy,1,1.0,0.000%
Dark Hole,3,3.0,0.000%
Harpie's Feather Duster,1,1.0,0.000%
Cosmic Cyclone,3,3.0,0.000%
Twin Twisters,1,1.0,0.000%
Evenly Matched,3,3.0,0.000%
