Card Name,count,Avg count in decks,In percentage of decks,Scareclaw Danger Tearlaments,deck count: 1
main
Tearlaments Scheiren,3,3.0,100.000%
Tearlaments Havnis,3,3.0,100.000%
Tearlaments Merrli,3,3.0,100.000%
Tearlaments Reinoheart,2,2.0,100.000%
Scareclaw Reichheart,1,1.0,100.000%
Visas Starfrost,3,3.0,100.000%
Blackwing - Zephyros the Elite,1,1.0,100.000%
Destrudo the Lost Dragon's Frisson,1,1.0,100.000%
Danger!? Tsuchinoko?,1,1.0,100.000%
Danger!? Jackalope?,1,1.0,100.000%
Albion the Shrouded Dragon,1,1.0,100.000%
Danger! Nessie!,3,3.0,100.000%
Primitive Planet Reichphobia,2,2.0,100.000%
Primeval Planet Perlereino,3,3.0,100.000%
Scareclaw Arrival,2,2.0,100.000%
Branded in High Spirits,3,3.0,100.000%
Terraforming,1,1.0,100.000%
Set Rotation,1,1.0,100.000%
Instant Fusion,1,1.0,100.000%
Dark Ruler No More,3,3.0,100.000%
Tearlaments Sulliek,2,2.0,100.000%
Infinite Impermanence,3,3.0,100.000%
extra
Tearlaments Kaleido-Heart,1,1.0,0.000%
Tearlaments Kitkallos,2,2.0,0.000%
Mudragon of the Swamp,1,1.0,0.000%
Baronne de Fleur,1,1.0,0.000%
D.3.S. Frog,1,1.0,0.000%
"Garura, Wings of Resonant Life",1,1.0,0.000%
Predaplant Dragostapelia,1,1.0,0.000%
Scareclaw Light-Heart,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Spright Elf,1,1.0,0.000%
"Curious, the Lightsworn Dominion",1,1.0,0.000%
Knightmare Gryphon,1,1.0,0.000%
Abyss Dweller,1,1.0,0.000%
Time Thief Redoer,1,1.0,0.000%
side
"Nibiru, the Primal Being",3,3.0,0.000%
PSY-Framegear Gamma,3,3.0,0.000%
PSY-Frame Driver,1,1.0,0.000%
Skull-Mark Ladybug,1,1.0,0.000%
Ghost Sister & Spooky Dogwood,3,3.0,0.000%
Cosmic Cyclone,3,3.0,0.000%
Anti-Spell Fragrance,1,1.0,0.000%
