Card Name,count,Avg count in decks,In percentage of decks,Scareclaw Tearlaments,deck count: 2
main
Tearlaments Scheiren,6,3.0,100.000%,,
Tearlaments Havnis,6,3.0,100.000%,,
Tearlaments Merrli,6,3.0,100.000%,,
Blackwing - Zephyros the Elite,2,1.0,100.000%,,
Albion the Shrouded Dragon,2,1.0,100.000%,,
Tearlaments Reinoheart,6,3.0,100.000%,,
Scareclaw Reichheart,4,2.0,100.000%,,
Visas Starfrost,6,3.0,100.000%,,
Branded in High Spirits,6,3.0,100.000%,,
Terraforming,2,1.0,100.000%,,
Scareclaw Arrival,4,2.0,100.000%,,
Primitive Planet Reichphobia,4,2.0,100.000%,,
Primeval Planet Perlereino,6,3.0,100.000%,,
Forbidden Droplet,6,3.0,100.000%,,
Instant Fusion,2,1.0,100.000%,,
Called by the Grave,1,0.5,50.000%,,
Super Polymerization,6,3.0,100.000%,,
Infinite Impermanence,6,3.0,100.000%,,
Tearlaments Sulliek,4,2.0,100.000%,,
extra
Tearlaments Kaleido-Heart,2,1.0,50.000%,,
Tearlaments Kitkallos,3,1.5,50.000%,,
Mudragon of the Swamp,2,1.0,50.000%,,
D.3.S. Frog,2,1.0,50.000%,,
"Garura, Wings of Resonant Life",2,1.0,50.000%,,
Predaplant Dragostapelia,2,1.0,50.000%,,
Baronne de Fleur,2,1.0,50.000%,,
Scareclaw Light-Heart,2,1.0,50.000%,,
"Dharc the Dark Charmer, Gloomy",2,1.0,50.000%,,
Spright Elf,2,1.0,50.000%,,
"Curious, the Lightsworn Dominion",2,1.0,50.000%,,
"Apollousa, Bow of the Goddess",2,1.0,50.000%,,
Time Thief Redoer,2,1.0,50.000%,,
Number 41: Bagooska the Terribly Tired Tapir,1,0.5,0.000%,,
Abyss Dweller,2,1.0,50.000%,,
side
"Nibiru, the Primal Being",6,3.0,50.000%,,
Gagaga Cowboy,2,1.0,50.000%,,
Harpie's Feather Duster,2,1.0,50.000%,,
Cosmic Cyclone,6,3.0,50.000%,,
Lightning Storm,6,3.0,50.000%,,
Skill Drain,6,3.0,50.000%,,
Called by the Grave,1,0.5,100.000%,,
