Card Name,count,Avg count in decks,In percentage of decks,Spright Tearlaments,deck count: 2
main,,,,,
Tearlaments Scheiren,6,3.0,100.000%,,
Tearlaments Reinoheart,4,2.0,100.000%,,
Tearlaments Havnis,6,3.0,100.000%,,
Spright Jet,2,1.0,100.000%,,
Spright Red,2,1.0,100.000%,,
Spright Blue,5,2.5,100.000%,,
Spright Carrot,1,0.5,50.000%,,
Tearlaments Merrli,6,3.0,100.000%,,
Nimble Angler,6,3.0,100.000%,,
Nimble Beaver,6,3.0,100.000%,,
Instant Fusion,2,1.0,100.000%,,
Triple Tactics Talent,5,2.5,100.000%,,
Super Polymerization,6,3.0,100.000%,,
Tearlaments Heartbeat,2,1.0,100.000%,,
Spright Smashers,3,1.5,100.000%,,
Tearlaments Scream,3,1.5,100.000%,,
Primeval Planet Perlereino,6,3.0,100.000%,,
Tearlaments Sulliek,4,2.0,100.000%,,
Tearlaments Cryme,1,0.5,50.000%,,
Kashtira Fenrir,3,1.5,50.000%,,
Knightmare Corruptor Iblee,1,0.5,50.000%,,
Terraforming,1,0.5,50.000%,,
Foolish Burial,1,0.5,50.000%,,
Spright Starter,1,0.5,50.000%,,
Tearlaments Grief,3,1.5,50.000%,,
extra,,,,,
Tearlaments Kaleido-Heart,2,1.0,100.000%,,
Predaplant Dragostapelia,2,1.0,100.000%,,
"Garura, Wings of Resonant Life",2,1.0,100.000%,,
Tearlaments Kitkallos,2,1.0,100.000%,,
Tearlaments Rulkallos,2,1.0,100.000%,,
Mudragon of the Swamp,2,1.0,100.000%,,
Gigantic Spright,2,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",2,1.0,100.000%,,
Spright Elf,4,2.0,100.000%,,
Spright Sprind,4,2.0,100.000%,,
I:P Masquerena,2,1.0,100.000%,,
Knightmare Unicorn,1,0.5,50.000%,,
Accesscode Talker,2,1.0,100.000%,,
Beat Cop from the Underworld,1,0.5,50.000%,,
side,,,,,
Red Resonator,2,1.0,100.000%,,
Bystial Magnamhut,6,3.0,100.000%,,
Bystial Druiswurm,5,2.5,100.000%,,
Ghost Sister & Spooky Dogwood,3,1.5,50.000%,,
Cosmic Cyclone,6,3.0,100.000%,,
Raigeki,3,1.5,50.000%,,
Bystial Saronir,1,0.5,50.000%,,
Dinowrestler Pankratops,1,0.5,50.000%,,
Abyss Dweller,1,0.5,50.000%,,
Tearlaments Heartbeat,2,1.0,50.000%,,
