Card Name,count,Avg count in decks,In percentage of decks,Spright Tri-Brigade,deck count: 3
main
Tri-Brigade Fraktall,9,3.0,100.000%,,
Tri-Brigade Kerass,6,2.0,100.000%,,
Tri-Brigade Kitt,9,3.0,100.000%,,
Tri-Brigade Nervall,6,2.0,100.000%,,
Spright Blue,8,2.67,100.000%,,
Spright Jet,8,2.67,100.000%,,
Spright Carrot,3,1.0,100.000%,,
Nimble Beaver,3,1.0,33.333%,,
Spright Red,3,1.0,100.000%,,
Bystial Magnamhut,2,0.667,33.333%,,
Bystial Druiswurm,1,0.333,33.333%,,
D.D. Crow,8,2.67,100.000%,,
Ghost Mourner & Moonlit Chill,3,1.0,33.333%,,
Called by the Grave,2,0.667,66.667%,,
Fire Formation - Tenki,6,2.0,100.000%,,
Triple Tactics Talent,5,1.67,66.667%,,
Spright Smashers,3,1.0,100.000%,,
Spright Starter,9,3.0,100.000%,,
Infinite Impermanence,6,2.0,66.667%,,
Tri-Brigade Revolt,3,1.0,100.000%,,
Effect Veiler,3,1.0,33.333%,,
"Nibiru, the Primal Being",3,1.0,33.333%,,
Forbidden Droplet,3,1.0,33.333%,,
Hop Ear Squadron,1,0.333,33.333%,,
Rescue Cat,3,1.0,33.333%,,
Ash Blossom & Joyous Spring,3,1.0,33.333%,,
PSY-Framegear Gamma,3,1.0,33.333%,,
PSY-Frame Driver,1,0.333,33.333%,,
Ghost Belle & Haunted Mansion,1,0.333,33.333%,,
Skull Meister,1,0.333,33.333%,,
Ghost Ogre & Snow Rabbit,1,0.333,33.333%,,
Emergency Teleport,2,0.667,33.333%,,
extra
Tri-Brigade Shuraig the Ominous Omen,6,2.0,66.667%,,
Scareclaw Light-Heart,1,0.333,0.000%,,
Accesscode Talker,3,1.0,66.667%,,
"Hraesvelgr, the Desperate Doom Eagle",3,1.0,66.667%,,
Tri-Brigade Ferrijit the Barren Blossom,3,1.0,66.667%,,
Tri-Brigade Bearbrumm the Rampant Rampager,3,1.0,66.667%,,
Pitknight Earlie,3,1.0,66.667%,,
Spright Elf,6,2.0,66.667%,,
Ancient Warriors Oath - Double Dragon Lords,3,1.0,66.667%,,
Gigantic Spright,5,1.67,66.667%,,
Number 65: Djinn Buster,1,0.333,0.000%,,
Onibimaru Soul Sweeper,1,0.333,0.000%,,
Knightmare Unicorn,1,0.333,33.333%,,
"Apollousa, Bow of the Goddess",1,0.333,33.333%,,
I:P Masquerena,2,0.667,66.667%,,
Knightmare Phoenix,1,0.333,33.333%,,
Salamangreat Almiraj,1,0.333,33.333%,,
Herald of the Arc Light,1,0.333,33.333%,,
side
Red Resonator,2,0.667,33.333%,,
Bystial Druiswurm,1,0.333,33.333%,,
Bystial Saronir,1,0.333,0.000%,,
Underworld Goddess of the Closed World,1,0.333,0.000%,,
Cosmic Cyclone,7,2.33,66.667%,,
Evenly Matched,3,1.0,0.000%,,
Anti-Spell Fragrance,6,2.0,33.333%,,
Solemn Judgment,2,0.667,0.000%,,
Droll & Lock Bird,3,1.0,33.333%,,
Twin Twisters,4,1.33,66.667%,,
Dimensional Barrier,6,2.0,66.667%,,
"Nibiru, the Primal Being",2,0.667,33.333%,,
Ghost Belle & Haunted Mansion,1,0.333,33.333%,,
Skull Meister,1,0.333,33.333%,,
"Gadarla, the Mystery Dust Kaiju",2,0.667,33.333%,,
Harpie's Feather Duster,1,0.333,33.333%,,
Mystical Space Typhoon,1,0.333,33.333%,,
Lightning Storm,1,0.333,33.333%,,
