Card Name,count,Avg count in decks,In percentage of decks,Spright,deck count: 6
main
Spright Blue,18,3.0,100.000%,,
Spright Jet,18,3.0,100.000%,,
Spright Red,6,1.0,100.000%,,
Spright Carrot,6,1.0,100.000%,,
Spright Pixies,6,1.0,100.000%,,
Swap Frog,13,2.17,83.333%,,
Nimble Beaver,12,2.0,66.667%,,
Nimble Angler,8,1.33,66.667%,,
Kashtira Fenrir,6,1.0,33.333%,,
Ash Blossom & Joyous Spring,17,2.83,100.000%,,
Bystial Magnamhut,10,1.67,66.667%,,
Bystial Druiswurm,7,1.17,66.667%,,
Pot of Prosperity,15,2.5,83.333%,,
Spright Starter,18,3.0,100.000%,,
Spright Smashers,7,1.17,100.000%,,
Triple Tactics Talent,9,1.5,66.667%,,
Dark Ruler No More,2,0.333,16.667%,,
Called by the Grave,4,0.667,66.667%,,
Harpie's Feather Duster,1,0.167,16.667%,,
Infinite Impermanence,15,2.5,83.333%,,
Skull Meister,3,0.5,16.667%,,
"Nibiru, the Primal Being",9,1.5,50.000%,,
Ghost Belle & Haunted Mansion,5,0.833,33.333%,,
Spright Double Cross,1,0.167,16.667%,,
Capshell,1,0.167,16.667%,,
Dark Beckoning Beast,9,1.5,50.000%,,
Monster Reborn,1,0.167,16.667%,,
Cosmic Cyclone,1,0.167,16.667%,,
Forbidden Droplet,2,0.333,16.667%,,
Opening of the Spirit Gates,4,0.667,50.000%,,
Ipiria,1,0.167,16.667%,,
D.D. Crow,3,0.5,16.667%,,
PSY-Framegear Gamma,3,0.5,16.667%,,
PSY-Frame Driver,1,0.167,16.667%,,
extra
"Wollow, Founder of the Drudge Dragons",1,0.167,0.000%,,
Number 2: Ninja Shadow Mosquito,1,0.167,0.000%,,
Onibimaru Soul Sweeper,4,0.667,50.000%,,
Toadally Awesome,5,0.833,66.667%,,
Gigantic Spright,12,2.0,83.333%,,
Downerd Magician,6,1.0,83.333%,,
Divine Arsenal AA-ZEUS - Sky Thunder,6,1.0,83.333%,,
"Dharc the Dark Charmer, Gloomy",6,1.0,83.333%,,
I:P Masquerena,4,0.667,50.000%,,
Spright Sprind,4,0.667,50.000%,,
Spright Elf,16,2.67,83.333%,,
Knightmare Phoenix,2,0.333,16.667%,,
Knightmare Unicorn,3,0.5,33.333%,,
Number 65: Djinn Buster,4,0.667,66.667%,,
Number 29: Mannequin Cat,3,0.5,50.000%,,
Sky Cavalry Centaurea,5,0.833,83.333%,,
Codebreaker Virus Swordsman,1,0.167,16.667%,,
Mekk-Knight Crusadia Avramax,2,0.333,33.333%,,
Pitknight Earlie,1,0.167,16.667%,,
Bujinki Ahashima,1,0.167,16.667%,,
Salamangreat Almiraj,1,0.167,16.667%,,
Topologic Zeroboros,1,0.167,16.667%,,
Cat Shark,1,0.167,16.667%,,
side
D.D. Crow,2,0.333,0.000%,,
"Gadarla, the Mystery Dust Kaiju",2,0.333,0.000%,,
Lightning Storm,6,1.0,33.333%,,
Dark Ruler No More,4,0.667,33.333%,,
Evenly Matched,14,2.33,66.667%,,
Dimensional Barrier,5,0.833,16.667%,,
Different Dimension Ground,3,0.5,0.000%,,
Red Resonator,4,0.667,66.667%,,
Chaos Hunter,1,0.167,16.667%,,
Dimension Shifter,6,1.0,33.333%,,
PSY-Framegear Gamma,3,0.5,16.667%,,
PSY-Frame Driver,1,0.167,16.667%,,
Droll & Lock Bird,12,2.0,33.333%,,
Artifact Scythe,1,0.167,16.667%,,
Testudo erat Numen,1,0.167,16.667%,,
Cosmic Cyclone,4,0.667,33.333%,,
Summon Limit,3,0.5,16.667%,,
Artifact Sanctum,3,0.5,16.667%,,
Bystial Magnamhut,1,0.167,33.333%,,
Change of Heart,1,0.167,16.667%,,
Anti-Spell Fragrance,5,0.833,33.333%,,
Spright Double Cross,1,0.167,16.667%,,
Dinowrestler Pankratops,1,0.167,16.667%,,
Harpie's Feather Duster,2,0.333,50.000%,,
Spright Gamma Burst,1,0.167,16.667%,,
Solemn Judgment,3,0.5,16.667%,,
