Card Name,count,Avg count in decks,In percentage of decks,Synchro Runick,deck count: 1
main
Kashtira Fenrir,3,3.0,100.000%,,
Bystial Magnamhut,2,2.0,100.000%,,
Bystial Druiswurm,1,1.0,100.000%,,
Lava Golem,1,1.0,100.000%,,
The Fabled Cerburrel,3,3.0,100.000%,,
Hop Ear Squadron,3,3.0,100.000%,,
Runick Fountain,2,2.0,100.000%,,
Runick Tip,3,3.0,100.000%,,
Runick Golden Droplet,2,2.0,100.000%,,
Runick Flashing Fire,3,3.0,100.000%,,
Runick Freezing Curses,3,3.0,100.000%,,
Runick Destruction,3,3.0,100.000%,,
Runick Dispelling,1,1.0,100.000%,,
Runick Smiting Storm,2,2.0,100.000%,,
Runick Slumber,3,3.0,100.000%,,
Mystic Mine,1,1.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Metaverse,1,1.0,100.000%,,
There Can Be Only One,2,2.0,100.000%,,
extra
Baronne de Fleur,1,1.0,0.000%,,
Ravenous Crocodragon Archethys,1,1.0,0.000%,,
Cupid Pitch,1,1.0,0.000%,,
Merry Melffys,1,1.0,0.000%,,
Herald of the Arc Light,1,1.0,0.000%,,
Stardust Charge Warrior,1,1.0,0.000%,,
PSY-Framelord Omega,1,1.0,0.000%,,
Draco Berserker of the Tenyi,1,1.0,0.000%,,
Hugin the Runick Wings,3,3.0,0.000%,,
Freki the Runick Fangs,1,1.0,0.000%,,
Geri the Runick Fangs,2,2.0,0.000%,,
Munin the Runick Wings,1,1.0,0.000%,,
side
Majesty's Fiend,1,1.0,0.000%,,
Inspector Boarder,2,2.0,0.000%,,
Lava Golem,2,2.0,100.000%,,
Raigeki,2,2.0,0.000%,,
Twin Twisters,1,1.0,0.000%,,
Forbidden Droplet,2,2.0,0.000%,,
Mystic Mine,1,1.0,100.000%,,
Called by the Grave,1,1.0,0.000%,,
Harpie's Feather Duster,1,1.0,0.000%,,
Evenly Matched,2,2.0,0.000%,,
