Card Name,count,Avg count in decks,In percentage of decks,Tearlaments,deck count: 4
main,,,,,
Albion the Shrouded Dragon,1,0.25,25.000%,,
Kashtira Fenrir,3,0.75,25.000%,,
Bystial Druiswurm,3,0.75,75.000%,,
Bystial Magnamhut,8,2.0,75.000%,,
Tearlaments Scheiren,12,3.0,100.000%,,
Tearlaments Reinoheart,12,3.0,100.000%,,
"Blazing Cartesia, the Virtuous",2,0.5,50.000%,,
Tearlaments Havnis,12,3.0,100.000%,,
Tearlaments Merrli,12,3.0,100.000%,,
Tearlaments Scream,7,1.75,75.000%,,
Primeval Planet Perlereino,12,3.0,100.000%,,
Instant Fusion,4,1.0,100.000%,,
Pot of Desires,6,1.5,75.000%,,
Terraforming,4,1.0,100.000%,,
Branded in High Spirits,6,1.5,50.000%,,
Super Polymerization,6,1.5,50.000%,,
Tearlaments Heartbeat,2,0.5,50.000%,,
Tearlaments Sulliek,7,1.75,100.000%,,
Tearlaments Cryme,2,0.5,50.000%,,
Night Sword Serpent,1,0.25,25.000%,,
Triple Tactics Talent,3,0.75,25.000%,,
Infinite Impermanence,9,2.25,75.000%,,
Ash Blossom & Joyous Spring,6,1.5,50.000%,,
Ghost Mourner & Moonlit Chill,2,0.5,25.000%,,
Ghost Belle & Haunted Mansion,3,0.75,25.000%,,
Cyber-Stein,1,0.25,25.000%,,
Effect Veiler,3,0.75,25.000%,,
"Nibiru, the Primal Being",3,0.75,25.000%,,
D.D. Crow,3,0.75,25.000%,,
Called by the Grave,1,0.25,25.000%,,
Reinforcement of the Army,1,0.25,25.000%,,
Paleozoic Dinomischus,3,0.75,25.000%,,
extra,,,,,
Tearlaments Kaleido-Heart,4,1.0,100.000%,,
Tearlaments Rulkallos,3,0.75,75.000%,,
Predaplant Dragostapelia,4,1.0,100.000%,,
"Garura, Wings of Resonant Life",4,1.0,100.000%,,
Tearlaments Kitkallos,8,2.0,100.000%,,
Mudragon of the Swamp,4,1.0,100.000%,,
Baronne de Fleur,2,0.5,50.000%,,
Time Thief Redoer,2,0.5,50.000%,,
Abyss Dweller,4,1.0,100.000%,,
Gagaga Cowboy,1,0.25,25.000%,,
Accesscode Talker,1,0.25,25.000%,,
Knightmare Unicorn,2,0.5,50.000%,,
"Dharc the Dark Charmer, Gloomy",4,1.0,100.000%,,
Spright Elf,4,1.0,100.000%,,
"Beatrice, Lady of the Eternal",2,0.5,50.000%,,
Spright Sprind,2,0.5,50.000%,,
Underworld Goddess of the Closed World,1,0.25,25.000%,,
Bahamut Shark,2,0.5,50.000%,,
Toadally Awesome,2,0.5,50.000%,,
Number 41: Bagooska the Terribly Tired Tapir,2,0.5,50.000%,,
I:P Masquerena,1,0.25,25.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,1,0.25,25.000%,,
side,,,,,
The Winged Dragon of Ra - Sphere Mode,3,0.75,25.000%,,
Dinowrestler Pankratops,2,0.5,50.000%,,
Ghost Reaper & Winter Cherries,3,0.75,25.000%,,
Ghost Sister & Spooky Dogwood,3,0.75,25.000%,,
Tearlaments Heartbeat,3,0.75,50.000%,,
Imperial Iron Wall,3,0.75,25.000%,,
PSY-Framegear Gamma,6,1.5,50.000%,,
PSY-Frame Driver,2,0.5,50.000%,,
Gagaga Cowboy,1,0.25,25.000%,,
Cosmic Cyclone,6,1.5,50.000%,,
Mystic Mine,3,0.75,25.000%,,
Evenly Matched,9,2.25,75.000%,,
Volcanic Scattershot,1,0.25,25.000%,,
Harpie's Feather Duster,1,0.25,25.000%,,
Forbidden Droplet,3,0.75,25.000%,,
Super Polymerization,3,0.75,25.000%,,
Eradicator Epidemic Virus,3,0.75,25.000%,,
Tearlaments Cryme,1,0.25,25.000%,,
Anti-Spell Fragrance,3,0.75,25.000%,,
