Card Name,count,Avg count in decks,In percentage of decks,Tenyi Swordsoul,deck count: 9
main
"Incredible Ecclesia, the Virtuous",26,2.89,100.000%
Swordsoul of Mo Ye,27,3.0,100.000%
Swordsoul Strategist Longyuan,27,3.0,100.000%
Swordsoul of Taia,17,1.89,100.000%
Tenyi Spirit - Shthana,6,0.667,66.667%
Tenyi Spirit - Adhara,23,2.56,100.000%
Tenyi Spirit - Ashuna,27,3.0,100.000%
Tenyi Spirit - Vishuda,23,2.56,100.000%
Ash Blossom & Joyous Spring,17,1.89,66.667%
D.D. Crow,10,1.11,44.444%
Heavenly Dragon Circle,21,2.33,100.000%
Vessel for the Dragon Cycle,4,0.444,22.222%
Pot of Desires,18,2.0,100.000%
Called by the Grave,4,0.444,44.444%
Swordsoul Emergence,27,3.0,100.000%
Swordsoul Blackout,9,1.0,100.000%
Infinite Impermanence,26,2.89,100.000%
Rivalry of Warlords,12,1.33,44.444%
Droll & Lock Bird,3,0.333,11.111%
Effect Veiler,6,0.667,22.222%
Dimension Shifter,5,0.556,22.222%
Tenyi Spirit - Mapura,1,0.111,11.111%
Change of Heart,1,0.111,11.111%
Forbidden Droplet,11,1.22,44.444%
Triple Tactics Talent,6,0.667,33.333%
Bystial Magnamhut,1,0.111,11.111%
Bystial Druiswurm,3,0.333,11.111%
Swordsoul Sacred Summit,4,0.444,44.444%
Evenly Matched,2,0.222,11.111%
Harpie's Feather Duster,1,0.111,11.111%
"Nibiru, the Primal Being",7,0.778,33.333%
Dark Ruler No More,5,0.556,22.222%
Tenyi Spirit - Nahata,1,0.111,11.111%
Super Polymerization,3,0.333,11.111%
extra
Baronne de Fleur,9,1.0,88.889%
Swordsoul Sinister Sovereign - Qixing Longyuan,9,1.0,88.889%
Swordsoul Supreme Sovereign - Chengying,9,1.0,88.889%
"Chaofeng, Phantom of the Yang Zing",6,0.667,55.556%
"Baxia, Brightness of the Yang Zing",18,2.0,88.889%
Adamancipator Risen - Dragite,5,0.556,44.444%
Draco Berserker of the Tenyi,9,1.0,88.889%
Swordsoul Grandmaster - Chixiao,18,2.0,88.889%
"Yazi, Evil of the Yang Zing",8,0.889,77.778%
Monk of the Tenyi,26,2.89,88.889%
Shaman of the Tenyi,9,1.0,88.889%
Ruddy Rose Dragon,2,0.222,22.222%
PSY-Framelord Omega,2,0.222,22.222%
Psychic End Punisher,1,0.111,11.111%
Draco Masters of the Tenyi,1,0.111,11.111%
"Lyna the Light Charmer, Lustrous",1,0.111,11.111%
"Garura, Wings of Resonant Life",1,0.111,11.111%
Predaplant Dragostapelia,1,0.111,11.111%
side
Harpie's Feather Duster,6,0.667,44.444%
Cosmic Cyclone,15,1.67,55.556%
Forbidden Droplet,3,0.333,0.000%
Anti-Spell Fragrance,27,3.0,88.889%
Dimensional Barrier,15,1.67,55.556%
Evenly Matched,10,1.11,33.333%
Triple Tactics Talent,1,0.111,11.111%
Lightning Storm,9,1.0,33.333%
Dark Ruler No More,7,0.778,33.333%
Called by the Grave,1,0.111,22.222%
Droll & Lock Bird,5,0.556,22.222%
Different Dimension Ground,2,0.222,11.111%
Skull Meister,2,0.222,11.111%
Mistaken Arrest,2,0.222,11.111%
"Nibiru, the Primal Being",7,0.778,33.333%
Dinowrestler Pankratops,2,0.222,22.222%
Mystic Mine,3,0.333,11.111%
Rivalry of Warlords,6,0.667,33.333%
D.D. Crow,1,0.111,22.222%
Twin Twisters,3,0.333,11.111%
Appointer of the Red Lotus,1,0.111,11.111%
Swordsoul Blackout,1,0.111,22.222%
Dimension Shifter,3,0.333,11.111%
Ghost Sister & Spooky Dogwood,3,0.333,11.111%
