Card Name,count,Avg count in decks,In percentage of decks,Therion Tearlaments,deck count: 1
main
Tearlaments Scheiren,3,3.0,100.000%,,
Tearlaments Havnis,3,3.0,100.000%,,
Tearlaments Merrli,3,3.0,100.000%,,
"Gizmek Orochi, the Serpentron Sky Slasher",1,1.0,100.000%,,
Tearlaments Reinoheart,3,3.0,100.000%,,
"Therion ""King"" Regulus",2,2.0,100.000%,,
"Therion ""Lily"" Borea",2,2.0,100.000%,,
"Therion ""Empress"" Alasia",1,1.0,100.000%,,
"Therion ""Bull"" Ain",1,1.0,100.000%,,
Therion Irregular,1,1.0,100.000%,,
Primeval Planet Perlereino,3,3.0,100.000%,,
Foolish Burial,1,1.0,100.000%,,
Instant Fusion,1,1.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Set Rotation,1,1.0,100.000%,,
Endless Engine Argyro System,3,3.0,100.000%,,
Therion Discolosseum,2,2.0,100.000%,,
Forbidden Droplet,3,3.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
Tearlaments Sulliek,1,1.0,100.000%,,
Eradicator Epidemic Virus,1,1.0,100.000%,,
extra
Tearlaments Kaleido-Heart,1,1.0,0.000%,,
Tearlaments Kitkallos,1,1.0,0.000%,,
Predaplant Dragostapelia,1,1.0,0.000%,,
"Garura, Wings of Resonant Life",1,1.0,0.000%,,
Mudragon of the Swamp,1,1.0,0.000%,,
Abyss Dweller,1,1.0,0.000%,,
The Zombie Vampire,1,1.0,0.000%,,
Spright Elf,1,1.0,0.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%,,
I:P Masquerena,1,1.0,0.000%,,
Knightmare Unicorn,1,1.0,0.000%,,
"Curious, the Lightsworn Dominion",1,1.0,0.000%,,
Knightmare Gryphon,1,1.0,0.000%,,
Topologic Zeroboros,1,1.0,0.000%,,
"Apollousa, Bow of the Goddess",1,1.0,0.000%,,
side
Ghost Reaper & Winter Cherries,3,3.0,0.000%,,
"Nibiru, the Primal Being",3,3.0,0.000%,,
Chaos Hunter,3,3.0,0.000%,,
Aromage Laurel,1,1.0,0.000%,,
Spright Jet,1,1.0,0.000%,,
Spright Smashers,1,1.0,0.000%,,
Cosmic Cyclone,3,3.0,0.000%,,
