Card Name,count,Avg count in decks,In percentage of decks,Trickstar Runick Spright,deck count: 1
main
Trickstar Candina,1,1.0,100.000%
Trickstar Lilybell,1,1.0,100.000%
Spright Jet,2,2.0,100.000%
Spright Red,1,1.0,100.000%
Spright Blue,3,3.0,100.000%
Spright Carrot,1,1.0,100.000%
Spright Pixies,1,1.0,100.000%
Capshell,1,1.0,100.000%
Droll & Lock Bird,3,3.0,100.000%
Spright Starter,3,3.0,100.000%
Runick Freezing Curses,3,3.0,100.000%
Runick Tip,3,3.0,100.000%
Runick Slumber,2,2.0,100.000%
Runick Flashing Fire,3,3.0,100.000%
Spright Smashers,2,2.0,100.000%
Runick Destruction,3,3.0,100.000%
Runick Fountain,1,1.0,100.000%
Trickstar Light Stage,3,3.0,100.000%
Infinite Impermanence,3,3.0,100.000%
Trickstar Reincarnation,1,1.0,100.000%
extra
Geri the Runick Fangs,1,1.0,0.000%
Hugin the Runick Wings,2,2.0,0.000%
Gigantic Spright,2,2.0,0.000%
Spright Elf,3,3.0,0.000%
Onibimaru Soul Sweeper,1,1.0,0.000%
Number 65: Djinn Buster,1,1.0,0.000%
I:P Masquerena,1,1.0,0.000%
Knightmare Phoenix,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Knightmare Unicorn,1,1.0,0.000%
Unchained Abomination,1,1.0,0.000%
side
Red Resonator,1,1.0,0.000%
Dinowrestler Pankratops,1,1.0,0.000%
"Nibiru, the Primal Being",3,3.0,0.000%
Dimension Shifter,3,3.0,0.000%
Spright Gamma Burst,1,1.0,0.000%
Cosmic Cyclone,3,3.0,0.000%
Evenly Matched,3,3.0,0.000%
