Card Name,count,Avg count in decks,In percentage of decks,Branded Despia,deck count: 3
main
Despian Tragedy,7,2.33,100.000%
Dramaturge of Despia,2,0.667,66.667%
Ad Libitum of Despia,3,1.0,100.000%
Albion the Shrouded Dragon,5,1.67,100.000%
Fallen of Albaz,7,2.33,100.000%
Aluber the Jester of Despia,9,3.0,100.000%
Edge Imp Chain,9,3.0,100.000%
Springans Kitt,2,0.667,66.667%
"Incredible Ecclesia, the Virtuous",2,0.667,66.667%
Tri-Brigade Mercourier,3,1.0,66.667%
Foolish Burial,1,0.333,33.333%
Called by the Grave,3,1.0,100.000%
Gold Sarcophagus,1,0.333,33.333%
Triple Tactics Talent,2,0.667,33.333%
Forbidden Droplet,5,1.67,66.667%
Super Polymerization,9,3.0,100.000%
Allure of Darkness,9,3.0,100.000%
Frightfur Patchwork,7,2.33,100.000%
Polymerization,6,2.0,33.333%
"Despia, Theater of the Branded",1,0.333,33.333%
Branded Fusion,9,3.0,100.000%
Branded Opening,9,3.0,100.000%
Branded in Red,7,2.33,100.000%
Branded Lost,1,0.333,33.333%
Branded Banishment,2,0.667,66.667%
Branded Sword,1,0.333,33.333%
Ra's Disciple,1,0.333,33.333%
Harpie's Feather Duster,1,0.333,33.333%
Branded Expulsion,1,0.333,33.333%
Ghost Belle & Haunted Mansion,1,0.333,33.333%
Cosmic Cyclone,1,0.333,33.333%
Infinite Impermanence,3,1.0,33.333%
extra
Despian Proskenion,1,0.333,0.000%
Despian Quaeritis,3,1.0,66.667%
Alba-Lenatus the Abyss Dragon,1,0.333,0.000%
Starving Venom Fusion Dragon,2,0.667,33.333%
Lubellion the Searing Dragon,6,2.0,66.667%
Brigrand the Glory Dragon,2,0.667,33.333%
Mirrorjade the Iceblade Dragon,6,2.0,66.667%
Masquerade the Blazing Dragon,6,2.0,66.667%
Albion the Branded Dragon,7,2.33,66.667%
Guardian Chimera,4,1.33,66.667%
Predaplant Dragostapelia,3,1.0,66.667%
"Garura, Wings of Resonant Life",2,0.667,66.667%
Mudragon of the Swamp,1,0.333,33.333%
Masked HERO Dark Law,1,0.333,33.333%
side
Dimension Shifter,6,2.0,33.333%
Despian Comedy,1,0.333,0.000%
Droll & Lock Bird,2,0.667,0.000%
Harpie's Feather Duster,1,0.333,0.000%
Twin Twisters,2,0.667,0.000%
Dark Ruler No More,2,0.667,0.000%
Evenly Matched,8,2.67,66.667%
Eradicator Epidemic Virus,4,1.33,33.333%
D.D. Crow,2,0.667,33.333%
Artifact Lancea,2,0.667,33.333%
Artifact Scythe,1,0.333,33.333%
Necroworld Banshee,1,0.333,33.333%
Zombie World,1,0.333,33.333%
Mask Change II,2,0.667,33.333%
Lightning Storm,3,1.0,33.333%
Forbidden Droplet,3,1.0,66.667%
Trap Trick,1,0.333,33.333%
There Can Be Only One,3,1.0,33.333%
