Card Name,count,Avg count in decks,In percentage of decks,Plant Link,deck count: 1
main,,,,,
Sunseed Genius Loci,3,3.0,100.000%,,
"Nibiru, the Primal Being",1,1.0,100.000%,,
Snowdrop the Rikka Fairy,1,1.0,100.000%,,
Mudan the Rikka Fairy,2,2.0,100.000%,,
Rikka Princess,3,3.0,100.000%,,
Ragnaraika Samurai Beetle,1,1.0,100.000%,,
Lonefire Blossom,1,1.0,100.000%,,
Ash Blossom & Joyous Spring,3,3.0,100.000%,,
"Maxx ""C""",3,3.0,100.000%,,
Sunseed Twin,1,1.0,100.000%,,
Aromage Laurel,2,2.0,100.000%,,
Aromalilith Rosalina,3,3.0,100.000%,,
Rikka Petal,2,2.0,100.000%,,
Ragnaraika the Evil Seed,3,3.0,100.000%,,
One for One,3,3.0,100.000%,,
Lightning Storm,3,3.0,100.000%,,
Aroma Blend,1,1.0,100.000%,,
Sunvine Sowing,1,1.0,100.000%,,
Rikka Glamour,2,2.0,100.000%,,
Called by the Grave,3,3.0,100.000%,,
Forbidden Droplet,3,3.0,100.000%,,
Crossout Designator,3,3.0,100.000%,,
Ragnaraika Bloom,1,1.0,100.000%,,
Rikka Konkon,2,2.0,100.000%,,
Infinite Impermanence,1,1.0,100.000%,,
Typhoon,3,3.0,100.000%,,
Evenly Matched,3,3.0,100.000%,,
Rikka Sheet,1,1.0,100.000%,,
Humid Winds,1,1.0,100.000%,,
extra,,,,,
Aromalilith Magnolia,1,1.0,100.000%,,
Teardrop the Rikka Queen,2,2.0,100.000%,,
Rikka Queen Strenna,2,2.0,100.000%,,
Sunavalon Dryatrentiay,1,1.0,100.000%,,
Aromalilith Rosemary,1,1.0,100.000%,,
Sunavalon Melias,1,1.0,100.000%,,
Aromaseraphy Jasmine,3,3.0,100.000%,,
Ragnaraika Skeletal Soldier,1,1.0,100.000%,,
Sunvine Healer,1,1.0,100.000%,,
Sunavalon Dryas,2,2.0,100.000%,,
side,,,,,
Artifact Lancea,2,2.0,100.000%,,
Cactus Bouncer,1,1.0,100.000%,,
Aromage Jasmine,1,1.0,100.000%,,
Dark Ruler No More,3,3.0,100.000%,,
Dimensional Barrier,2,2.0,100.000%,,
Sunavalon Bloom,1,1.0,100.000%,,
Rivalry of Warlords,2,2.0,100.000%,,
Solemn Judgment,3,3.0,100.000%,,
