name,main,extra,side
Fire King ,unknown,unknown,unknown
Purrely ,unknown,unknown,unknown
Fire King ,unknown,unknown,unknown
Snake-Eye ,unknown,unknown,unknown
Snake-Eye ,unknown,unknown,unknown
Fire King ,unknown,unknown,unknown
Purrely ,unknown,unknown,unknown
Runick ,unknown,unknown,unknown
Plant Link,"['27520594', '27520594', '27520594', '27204311', '33491462', '71002019', '71002019', '132308', '132308', '132308', '26548709', '48686504', '14558127', '14558127', '14558127', '23434538', '23434538', '23434538', '66407907', '14169843', '14169843', '24689197', '24689197', '24689197', '71734607', '71734607', '99153051', '99153051', '99153051', '2295440', '2295440', '2295440', '14532163', '14532163', '14532163', '25861589', '53286626', '69164989', '69164989', '24224830', '24224830', '24224830', '24299458', '24299458', '24299458', '65681983', '65681983', '65681983', '4841383', '76869711', '76869711', '10045474', '14883228', '14883228', '14883228', '15693423', '15693423', '15693423', '68941332', '92266279']","['73167098', '33779875', '33779875', '3828844', '3828844', '92770064', '30989084', '44478599', '21200905', '21200905', '21200905', '43129357', '65563871', '93896655', '93896655']","['34267821', '34267821', '31615285', '96789758', '54693926', '54693926', '54693926', '83326048', '83326048', '54340229', '90846359', '90846359', '41420027', '41420027', '41420027']"
Rescue-ACE ,unknown,unknown,unknown
Runick ,unknown,unknown,unknown
Rescue-ACE ,unknown,unknown,unknown
Melodious ,unknown,unknown,unknown
Supreme King ,unknown,unknown,unknown
Yubel ,unknown,unknown,unknown
Purrely ,unknown,unknown,unknown
